order_line_id,order_id,product_id,quantity,unit_price,line_ts
L20260211-0000130,O20260211-000056,P00007,1,29.79,2026-02-05T15:01:24
L20260211-0000131,O20260211-000057,P00023,1,170.56,2026-02-07T08:28:56
L20260211-0000132,O20260211-000057,P00020,1,173.61,2026-02-08T20:18:31
L20260211-0000133,O20260211-000057,P00053,3,91.53,2026-02-10T08:24:08
L20260211-0000134,O20260211-000057,P00054,1,190.10,2026-02-11T12:50:45
L20260211-0000135,O20260211-000058,P00062,3,71.15,2026-02-06T12:17:11
L20260211-0000136,O20260211-000058,P00004,1,182.76,2026-02-11T08:03:51
L20260211-0000137,O20260211-000058,P00061,3,230.08,2026-02-08T05:06:15
L20260211-0000138,O20260211-000059,P00035,3,122.53,2026-02-05T11:59:53
L20260211-0000139,O20260211-000059,P00109,1,202.31,2026-02-06T23:44:22
L20260211-0000140,O20260211-000060,P00091,1,176.65,2026-02-09T18:12:53
L20260211-0000141,O20260211-000061,P00070,1,82.95,2026-02-11T02:03:14
L20260211-0000142,O20260211-000061,P00078,1,203.66,2026-02-04T00:21:58
L20260211-0000143,O20260211-000061,P00079,1,97.49,2026-02-09T10:03:01
L20260211-0000144,O20260211-000061,P00019,3,267.61,2026-02-06T02:23:45
L20260211-0000145,O20260211-000062,P00076,1,67.82,2026-02-06T04:10:46
L20260211-0000146,O20260211-000062,P00056,2,179.45,2026-02-06T07:42:37
L20260211-0000147,O20260211-000062,P00105,1,262.46,2026-02-07T04:11:46
L20260211-0000148,O20260211-000062,P00001,3,124.15,2026-02-11T05:38:20
L20260211-0000149,O20260211-000063,P00082,3,141.76,2026-02-09T10:47:04
L20260211-0000150,O20260211-000063,P00031,1,37.45,2026-02-10T22:42:40
L20260211-0000151,O20260211-000064,P00058,1,103.09,2026-02-08T22:04:22
L20260211-0000152,O20260211-000064,P00033,1,222.37,2026-02-05T14:46:26
L20260211-0000153,O20260211-000064,P00022,2,70.70,2026-02-06T17:24:06
L20260211-0000154,O20260211-000065,P00101,3,276.64,2026-02-04T02:51:54
L20260211-0000155,O20260211-000065,P00005,1,30.97,2026-02-07T03:04:21
L20260211-0000156,O20260211-000065,P00022,2,70.70,2026-02-10T10:38:39
L20260211-0000157,O20260211-000065,P00115,2,138.97,2026-02-09T19:56:27
L20260211-0000158,O20260211-000066,P00007,1,29.79,2026-02-08T13:44:35
L20260211-0000159,O20260211-000066,P00093,3,184.63,2026-02-07T07:06:03
L20260211-0000160,O20260211-000067,P00074,3,101.93,2026-02-11T11:00:27
L20260211-0000161,O20260211-000067,P00012,1,60.77,2026-02-08T03:01:13
L20260211-0000162,O20260211-000067,P00022,1,70.70,2026-02-10T09:50:25
L20260211-0000163,O20260211-000067,P00061,2,230.08,2026-02-05T05:23:56
L20260211-0000164,O20260211-000068,P00048,1,71.42,2026-02-07T14:29:16
L20260211-0000165,O20260211-000068,P00029,1,87.92,2026-02-09T22:42:06
L20260211-0000166,O20260211-000068,P00011,1,51.47,2026-02-08T17:03:53
L20260211-0000167,O20260211-000068,P00050,3,15.11,2026-02-04T18:56:15
L20260211-0000168,O20260211-000069,P00039,1,49.71,2026-02-09T03:48:28
L20260211-0000169,O20260211-000069,P00023,1,170.56,2026-02-09T01:27:05
L20260211-0000170,O20260211-000069,P00088,2,237.21,2026-02-07T10:58:46
L20260211-0000171,O20260211-000069,P00118,1,250.87,2026-02-05T17:20:54
L20260211-0000172,O20260211-000070,P00067,2,109.86,2026-02-05T03:26:09
L20260211-0000173,O20260211-000070,P00019,3,267.61,2026-02-10T03:36:49
L20260211-0000174,O20260211-000070,P00013,1,90.80,2026-02-05T08:24:41
L20260211-0000175,O20260211-000071,P00074,3,101.93,2026-02-09T08:25:09
L20260211-0000176,O20260211-000071,P00080,3,72.41,2026-02-05T10:44:15
L20260211-0000177,O20260211-000071,P00007,2,29.79,2026-02-11T10:52:50
L20260211-0000178,O20260211-000071,P00039,1,49.71,2026-02-10T07:08:19
L20260211-0000179,O20260211-000072,P00100,1,132.98,2026-02-10T06:28:13
L20260211-0000180,O20260211-000072,P00117,2,260.73,2026-02-06T01:32:50
L20260211-0000181,O20260211-000072,P00021,1,85.06,2026-02-05T04:49:54
L20260211-0000182,O20260211-000072,P00068,3,207.20,2026-02-08T06:53:03
L20260211-0000183,O20260211-000073,P00005,2,30.97,2026-02-08T08:23:52
L20260211-0000184,O20260211-000073,P00060,3,274.02,2026-02-11T07:23:31
L20260211-0000185,O20260211-000074,P00023,2,170.56,2026-02-06T11:10:53
L20260211-0000186,O20260211-000074,P00115,1,138.97,2026-02-11T12:03:10
L20260211-0000187,O20260211-000074,P00110,3,85.31,2026-02-08T21:13:17
L20260211-0000188,O20260211-000074,P00084,2,90.61,2026-02-11T15:58:08
L20260211-0000189,O20260211-000075,P00077,1,157.08,2026-02-07T22:45:41
L20260211-0000190,O20260211-000075,P00036,2,314.75,2026-02-04T08:13:29
L20260211-0000191,O20260211-000076,P00087,3,108.17,2026-02-10T00:32:42
L20260211-0000192,O20260211-000076,P00108,1,188.64,2026-02-07T09:43:06
L20260211-0000193,O20260211-000076,P00062,1,71.15,2026-02-06T08:16:41
L20260211-0000194,O20260211-000077,P00025,1,138.71,2026-02-11T19:25:42
L20260211-0000195,O20260211-000077,P00041,1,243.67,2026-02-07T08:58:26
L20260211-0000196,O20260211-000077,P00052,2,257.89,2026-02-08T10:46:45
L20260211-0000197,O20260211-000078,P00088,3,237.21,2026-02-07T05:53:42
L20260211-0000198,O20260211-000078,P00113,3,185.01,2026-02-10T15:08:47
L20260211-0000199,O20260211-000079,P00093,3,184.63,2026-02-10T07:22:14
L20260211-0000200,O20260211-000079,P00096,1,48.69,2026-02-06T08:37:18
L20260211-0000201,O20260211-000079,P00060,1,274.02,2026-02-10T15:56:12
L20260211-0000202,O20260211-000080,P00112,2,208.38,2026-02-05T01:55:54
L20260211-0000203,O20260211-000081,P00018,1,7.46,2026-02-04T04:20:55
L20260211-0000204,O20260211-000081,P00092,1,168.91,2026-02-06T20:11:20
L20260211-0000205,O20260211-000082,P00001,2,124.15,2026-02-09T18:48:10
L20260211-0000206,O20260211-000083,P00101,1,276.64,2026-02-05T20:27:25
L20260211-0000207,O20260211-000083,P00055,2,102.20,2026-02-11T17:12:46
L20260211-0000208,O20260211-000083,P00048,1,71.42,2026-02-08T00:43:00
L20260211-0000209,O20260211-000083,P00081,1,102.43,2026-02-07T04:06:24
L20260211-0000210,O20260211-000084,P00022,1,70.70,2026-02-07T14:46:33
L20260211-0000211,O20260211-000084,P00077,3,157.08,2026-02-09T10:57:31
L20260211-0000212,O20260211-000084,P00046,1,153.99,2026-02-11T07:14:46
L20260211-0000213,O20260211-000085,P00028,1,263.53,2026-02-09T03:23:45
L20260211-0000214,O20260211-000085,P00084,1,90.61,2026-02-11T19:03:42
L20260211-0000215,O20260211-000086,P00084,1,90.61,2026-02-05T14:24:07
L20260211-0000216,O20260211-000087,P00061,1,230.08,2026-02-07T13:42:06
L20260211-0000217,O20260211-000087,P00085,3,67.36,2026-02-09T13:53:57
L20260211-0000218,O20260211-000087,P00014,3,22.31,2026-02-07T03:50:06
L20260211-0000219,O20260211-000088,P00026,3,37.14,2026-02-08T11:45:26
L20260211-0000220,O20260211-000088,P00038,1,122.02,2026-02-04T06:44:59
L20260211-0000221,O20260211-000088,P00062,1,71.15,2026-02-11T21:05:58
L20260211-0000222,O20260211-000088,P00015,3,114.30,2026-02-10T16:04:46
L20260211-0000223,O20260211-000089,P00116,1,120.21,2026-02-07T08:29:03
L20260211-0000224,O20260211-000090,P00105,1,262.46,2026-02-06T21:20:27
L20260211-0000225,O20260211-000091,P00013,1,90.80,2026-02-09T10:22:57
L20260211-0000226,O20260211-000092,P00080,1,72.41,2026-02-06T05:07:25
L20260211-0000227,O20260211-000092,P00052,2,257.89,2026-02-04T13:41:56
L20260211-0000228,O20260211-000092,P00103,1,131.37,2026-02-11T05:06:26
L20260211-0000229,O20260211-000092,P00117,3,260.73,2026-02-04T05:39:24
L20260211-0000230,O20260211-000093,P00079,1,97.49,2026-02-04T03:56:26
L20260211-0000231,O20260211-000093,P00057,1,50.52,2026-02-06T00:45:55
L20260211-0000232,O20260211-000093,P00087,3,108.17,2026-02-08T21:55:21
L20260211-0000233,O20260211-000094,P00056,1,179.45,2026-02-05T04:53:52
L20260211-0000234,O20260211-000095,P00002,1,112.31,2026-02-04T05:04:48
L20260211-0000235,O20260211-000096,P00042,1,93.45,2026-02-11T16:14:35
L20260211-0000236,O20260211-000096,P00083,2,60.39,2026-02-10T14:28:51
L20260211-0000237,O20260211-000096,P00074,2,101.93,2026-02-04T10:07:31
L20260211-0000238,O20260211-000096,P00096,1,48.69,2026-02-05T01:35:35
L20260211-0000239,O20260211-000097,P00106,1,154.38,2026-02-07T16:35:13
L20260211-0000240,O20260211-000098,P00044,1,216.91,2026-02-04T10:35:49
L20260211-0000241,O20260211-000098,P00080,3,72.41,2026-02-04T03:06:48
L20260211-0000242,O20260211-000098,P00085,1,67.36,2026-02-06T20:51:18
L20260211-0000243,O20260211-000098,P00071,3,129.32,2026-02-11T05:31:08
L20260211-0000244,O20260211-000099,P00014,1,22.31,2026-02-08T03:59:54
L20260211-0000245,O20260211-000099,P00051,1,88.95,2026-02-06T03:48:26
L20260211-0000246,O20260211-000099,P00006,3,30.11,2026-02-04T21:37:32
L20260211-0000247,O20260211-000099,P00018,2,7.46,2026-02-11T17:59:27
L20260211-0000248,O20260211-000100,P00119,3,289.27,2026-02-09T23:52:08
L20260211-0000249,O20260211-000100,P00014,2,22.31,2026-02-06T16:56:24
L20260211-0000250,O20260211-000100,P00054,3,190.10,2026-02-05T10:18:28
L20260211-0000251,O20260211-000100,P00104,1,71.48,2026-02-07T22:35:55
L20260211-0000252,O20260211-000101,P00092,3,168.91,2026-02-08T19:45:18
L20260211-0000253,O20260211-000101,P00088,1,237.21,2026-02-06T22:07:48
L20260211-0000254,O20260211-000101,P00046,3,153.99,2026-02-05T21:47:57
L20260211-0000255,O20260211-000102,P00113,2,185.01,2026-02-10T00:24:09
L20260211-0000256,O20260211-000102,P00007,1,29.79,2026-02-09T09:43:16
L20260211-0000257,O20260211-000102,P00019,1,267.61,2026-02-11T11:52:28
L20260211-0000258,O20260211-000103,P00079,3,97.49,2026-02-05T07:32:50
L20260211-0000259,O20260211-000104,P00089,1,221.76,2026-02-05T21:20:35
L20260211-0000260,O20260211-000104,P00007,1,29.79,2026-02-04T07:58:40
L20260211-0000261,O20260211-000104,P00091,1,176.65,2026-02-08T23:12:18
L20260211-0000262,O20260211-000105,P00023,1,170.56,2026-02-10T12:02:27
L20260211-0000263,O20260211-000105,P00036,3,314.75,2026-02-09T18:54:16
L20260211-0000264,O20260211-000105,P00001,1,124.15,2026-02-11T04:59:20
L20260211-0000265,O20260211-000105,P00077,1,157.08,2026-02-04T18:35:22
L20260211-0000266,O20260211-000106,P00101,1,276.64,2026-02-09T16:04:50
L20260211-0000267,O20260211-000107,P00054,3,190.10,2026-02-10T11:14:56
L20260211-0000268,O20260211-000107,P00028,1,263.53,2026-02-07T06:48:39
L20260211-0000269,O20260211-000108,P00072,1,143.56,2026-02-04T07:57:41
L20260211-0000270,O20260211-000108,P00079,3,97.49,2026-02-06T12:58:50
L20260211-0000271,O20260211-000108,P00015,2,114.30,2026-02-07T00:58:33
L20260211-0000272,O20260211-000108,P00106,1,154.38,2026-02-04T15:02:18
L20260211-0000273,O20260211-000109,P00042,3,93.45,2026-02-09T17:34:00
L20260211-0000274,O20260211-000109,P00081,1,102.43,2026-02-05T03:13:34
L20260211-0000275,O20260211-000110,P00083,1,60.39,2026-02-04T22:21:02
L20260211-0000276,O20260211-000110,P00012,1,60.77,2026-02-07T17:04:36
L20260211-0000277,O20260211-000110,P00106,1,154.38,2026-02-05T14:40:25
L20260211-0000278,O20260211-000110,P00056,1,179.45,2026-02-10T17:00:41
L20260211-0000279,O20260211-000111,P00097,3,166.80,2026-02-06T16:06:18
L20260211-0000280,O20260211-000112,P00078,1,203.66,2026-02-05T12:52:42
L20260211-0000281,O20260211-000112,P00004,2,182.76,2026-02-08T04:47:25
L20260211-0000282,O20260211-000112,P00102,3,104.40,2026-02-07T21:56:58
L20260211-0000283,O20260211-000113,P00002,3,112.31,2026-02-10T01:00:36
L20260211-0000284,O20260211-000113,P00077,2,157.08,2026-02-10T09:13:47
L20260211-0000285,O20260211-000113,P00095,1,130.25,2026-02-09T05:11:14
L20260211-0000286,O20260211-000114,P00025,1,138.71,2026-02-11T17:29:41
L20260211-0000287,O20260211-000114,P00071,1,129.32,2026-02-07T03:12:46
L20260211-0000288,O20260211-000114,P00075,2,144.44,2026-02-09T21:41:15
L20260211-0000289,O20260211-000115,P00037,3,162.77,2026-02-06T15:28:21
L20260211-0000290,O20260211-000116,P00089,3,221.76,2026-02-06T10:27:10
L20260211-0000291,O20260211-000116,P00001,1,124.15,2026-02-05T08:53:23
L20260211-0000292,O20260211-000116,P00018,1,7.46,2026-02-04T11:49:19
L20260211-0000293,O20260211-000117,P00071,1,129.32,2026-02-10T08:54:52
L20260211-0000294,O20260211-000117,P00018,3,7.46,2026-02-10T23:04:57
L20260211-0000295,O20260211-000117,P00003,3,137.80,2026-02-05T18:13:58
L20260211-0000296,O20260211-000117,P00005,3,30.97,2026-02-04T20:49:09
L20260211-0000297,O20260211-000118,P00051,1,88.95,2026-02-09T14:32:32
L20260211-0000298,O20260211-000118,P00012,2,60.77,2026-02-11T21:15:54
L20260211-0000299,O20260211-000118,P00104,3,71.48,2026-02-09T14:10:11
L20260211-0000300,O20260211-000119,P00095,2,130.25,2026-02-08T15:14:04
L20260211-0000301,O20260211-000119,P00034,1,159.22,2026-02-08T16:58:50
L20260211-0000302,O20260211-000120,P00050,2,15.11,2026-02-11T20:20:06
L20260211-0000303,O20260211-000120,P00091,3,176.65,2026-02-09T12:41:24
L20260211-0000304,O20260211-000120,P00047,3,98.50,2026-02-07T12:58:14
L20260211-0000305,O20260211-000121,P00046,1,153.99,2026-02-11T16:56:08
L20260211-0000306,O20260211-000121,P00057,1,50.52,2026-02-07T06:09:11
L20260211-0000307,O20260211-000121,P00021,1,85.06,2026-02-08T13:51:21
L20260211-0000308,O20260211-000121,P00093,1,184.63,2026-02-04T06:37:10
L20260211-0000309,O20260211-000122,P00003,1,137.80,2026-02-09T04:40:32
L20260211-0000310,O20260211-000122,P00006,3,30.11,2026-02-09T08:59:11
L20260211-0000311,O20260211-000122,P00067,2,109.86,2026-02-11T23:46:42
L20260211-0000312,O20260211-000122,P00106,1,154.38,2026-02-04T19:30:55
L20260211-0000313,O20260211-000123,P00022,1,70.70,2026-02-09T18:52:49
L20260211-0000314,O20260211-000123,P00024,3,218.72,2026-02-09T23:43:21
L20260211-0000315,O20260211-000123,P00119,2,289.27,2026-02-10T07:24:24
L20260211-0000316,O20260211-000123,P00017,1,188.62,2026-02-05T04:38:06
L20260211-0000317,O20260211-000124,P00061,3,230.08,2026-02-10T02:30:42
L20260211-0000318,O20260211-000124,P00017,3,188.62,2026-02-05T16:26:23
L20260211-0000319,O20260211-000125,P00090,3,34.54,2026-02-04T12:22:37
L20260211-0000320,O20260211-000126,P00055,1,102.20,2026-02-08T02:18:38
L20260211-0000321,O20260211-000127,P00033,1,222.37,2026-02-10T16:00:24
L20260211-0000322,O20260211-000127,P00084,1,90.61,2026-02-06T03:09:27
L20260211-0000323,O20260211-000127,P00084,3,90.61,2026-02-05T18:23:39
L20260211-0000324,O20260211-000127,P00036,2,314.75,2026-02-04T05:23:35
L20260211-0000325,O20260211-000128,P00033,1,222.37,2026-02-05T23:08:54
L20260211-0000326,O20260211-000128,P00111,1,155.49,2026-02-09T03:13:32
L20260211-0000327,O20260211-000128,P00052,1,257.89,2026-02-11T05:24:40
L20260211-0000328,O20260211-000128,P00001,1,124.15,2026-02-05T02:04:16
L20260211-0000329,O20260211-000129,P00048,1,71.42,2026-02-05T12:39:41
L20260211-0000330,O20260211-000129,P00067,1,109.86,2026-02-09T20:31:28
L20260211-0000331,O20260211-000130,P00026,3,37.14,2026-02-11T19:32:33
L20260211-0000332,O20260211-000131,P00079,1,97.49,2026-02-08T20:00:10
L20260211-0000333,O20260211-000131,P00012,1,60.77,2026-02-05T12:37:12
L20260211-0000334,O20260211-000132,P00095,1,130.25,2026-02-07T23:53:35
L20260211-0000335,O20260211-000133,P00045,1,290.65,2026-02-08T14:59:25
L20260211-0000336,O20260211-000133,P00074,1,101.93,2026-02-05T16:06:35
L20260211-0000337,O20260211-000133,P00010,3,171.97,2026-02-10T16:16:56
L20260211-0000338,O20260211-000125,P00089,2,221.76,2026-02-04T07:48:21
L20260211-0000339,O20260211-000125,P00100,2,132.98,2026-02-11T15:07:16
L20260211-0000340,O20260211-000125,P00009,2,17.27,2026-02-06T13:22:33
L20260211-0000341,O20260211-000128,P00090,1,34.54,2026-02-10T12:43:47
L20260211-0000342,O20260211-000016,P00010,3,171.97,2026-02-06T11:13:57
L20260211-0000343,O20260211-000016,P00074,1,101.93,2026-02-04T23:12:15
L20260211-0000344,O20260211-000016,P00095,1,130.25,2026-02-08T06:53:15
L20260211-0000345,O20260211-000133,P00020,1,173.61,2026-02-04T19:00:48
L20260211-0000346,O20260211-000133,P00110,3,85.31,2026-02-06T19:20:31
L20260211-0000347,O20260211-000133,P00115,3,138.97,2026-02-09T16:17:25
L20260211-0000348,O20260211-000064,P00097,3,166.80,2026-02-05T15:34:02
