refund_id,order_line_id,order_id,refund_ts,refund_amount,refund_reason,refund_status
R20260215-0000269,L20260215-0002362,O20260215-000923,2026-02-11T19:08:30,12.79,late_delivery,rejected
R20260215-0000270,L20260215-0002363,O20260215-000923,2026-02-14T14:35:55,2.42,other,approved
R20260215-0000271,L20260215-0002369,O20260215-000926,2026-02-07T10:47:39,127.50,other,pending
R20260215-0000272,L20260215-0002378,O20260215-000929,2026-02-05T01:29:40,288.96,wrong_size,pending
R20260215-0000273,L20260215-0002379,O20260215-000929,2026-02-10T04:27:39,195.94,other,approved
R20260215-0000274,L20260215-0002384,O20260215-000931,2026-02-06T21:39:25,23.10,customer_remorse,approved
R20260215-0000275,L20260215-0002393,O20260215-000935,2026-02-08T19:41:37,202.02,damaged,pending
R20260215-0000276,L20260215-0002396,O20260215-000936,2026-02-08T06:59:10,86.80,damaged,approved
R20260215-0000277,L20260215-0002403,O20260215-000940,2026-02-12T02:42:34,42.66,late_delivery,rejected
R20260215-0000278,L20260215-0002404,O20260215-000940,2026-02-09T16:08:51,289.70,damaged,pending
R20260215-0000279,L20260215-0002410,O20260215-000942,2026-02-11T16:18:45,109.85,customer_remorse,approved
R20260215-0000280,L20260215-0002426,O20260215-000948,2026-02-13T21:12:48,40.86,other,approved
R20260215-0000281,L20260215-0002440,O20260215-000954,2026-02-06T01:15:03,122.05,other,approved
R20260215-0000282,L20260215-0002501,O20260215-000978,2026-02-11T10:57:23,50.05,other,pending
R20260215-0000283,L20260215-0002525,O20260215-000990,2026-02-13T04:31:09,37.44,customer_remorse,pending
R20260215-0000284,L20260215-0002536,O20260215-000994,2026-02-10T10:35:15,88.08,wrong_size,pending
R20260215-0000285,L20260215-0002554,O20260215-001004,2026-02-06T11:48:00,129.04,wrong_size,rejected
R20260215-0000286,L20260215-0002556,O20260215-001005,2026-02-15T09:12:05,89.11,customer_remorse,approved
R20260215-0000287,L20260215-0002580,O20260215-001013,2026-02-10T11:50:48,68.99,other,approved
R20260215-0000288,L20260215-0002582,O20260215-001014,2026-02-12T05:02:10,49.76,customer_remorse,pending
R20260215-0000289,L20260215-0002583,O20260215-001014,2026-02-12T21:43:46,329.37,late_delivery,rejected
R20260215-0000290,L20260215-0002589,O20260215-001016,2026-02-12T17:35:40,45.71,customer_remorse,rejected
R20260215-0000291,L20260215-0002607,O20260215-001025,2026-02-07T22:05:11,32.10,wrong_size,approved
R20260215-0000292,L20260215-0002615,O20260215-001028,2026-02-07T06:49:43,110.39,late_delivery,pending
R20260215-0000293,L20260215-0002645,O20260215-000896,2026-02-09T18:48:00,3.15,other,rejected
R20260215-0000294,L20260215-0002522,O20260215-000989,2026-02-08T09:45:56,122.57,other,pending
R20260215-0000294,L20260215-0002522,O20260215-000989,2026-02-08T09:45:56,122.57,other,pending
R20260215-0000285,L20260215-0002554,O20260215-001004,2026-02-06T11:48:00,129.04,wrong_size,rejected
R-BAD-001,L-NOPE,O-NOPE,32/13/2026,-12.34,,unknown_state
R-BAD-RAW,this,is,not,valid,csv,for,normal,parsers
