order_line_id,order_id,product_id,quantity,unit_price,sku,line_discount_amount,tax_rate,line_ts,new_fulfillment_mode
L20260215-0002185,O20260215-000843,P00108,2,188.64,SKU-00108,0.00,0.10,2026-02-11T17:30:43,legacy
L20260215-0002186,O20260215-000843,P00020,1,173.61,SKU-00020,0.00,0.07,2026-02-11T21:03:08,A
L20260215-0002187,O20260215-000844,P00105,1,262.46,SKU-00105,1.50,0.10,2026-02-15T21:03:21,
L20260215-0002188,O20260215-000844,P00038,3,122.02,SKU-00038,0.00,0.25,2026-02-15T21:36:37,B
L20260215-0002189,O20260215-000844,P00118,3,250.87,SKU-00118,0.00,0.25,2026-02-08T12:40:29,
L20260215-0002190,O20260215-000845,P00067,3,109.86,SKU-00067,3.00,0.07,2026-02-11T12:06:25,C
L20260215-0002191,O20260215-000845,P00028,1,263.53,SKU-00028,0.00,0.10,2026-02-12T16:14:49,C
L20260215-0002192,O20260215-000846,P00004,1,182.76,SKU-00004,5.00,0.00,2026-02-11T07:20:10,
L20260215-0002193,O20260215-000847,P00080,1,72.41,SKU-00080,0.00,0.20,2026-02-11T03:28:36,
L20260215-0002194,O20260215-000847,P00073,2,35.38,SKU-00073,1.50,0.10,2026-02-09T12:09:32,legacy
L20260215-0002195,O20260215-000847,P00080,2,72.41,SKU-00080,0.00,0.10,2026-02-14T16:38:51,legacy
L20260215-0002196,O20260215-000848,P00021,1,85.06,SKU-00021,1.50,0.07,2026-02-08T10:40:25,B
L20260215-0002197,O20260215-000848,P00008,1,137.16,SKU-00008,0.00,0.07,2026-02-12T01:08:14,legacy
L20260215-0002198,O20260215-000848,P00115,1,138.97,SKU-00115,0.00,0.10,2026-02-09T23:29:28,legacy
L20260215-0002199,O20260215-000848,P00110,1,85.31,SKU-00110,0.00,0.10,2026-02-14T21:23:33,C
L20260215-0002200,O20260215-000849,P00106,1,154.38,SKU-00106,0.00,0.25,2026-02-13T16:56:58,legacy
L20260215-0002201,O20260215-000850,P00044,1,216.91,SKU-00044,3.00,0.20,2026-02-09T01:45:34,A
L20260215-0002202,O20260215-000851,P00109,1,202.31,SKU-00109,0.00,0.25,2026-02-13T15:33:35,
L20260215-0002203,O20260215-000852,P00099,1,80.35,SKU-00099,3.00,0.25,2026-02-15T18:35:24,C
L20260215-0002204,O20260215-000852,P00103,1,131.37,SKU-00103,3.00,0.00,2026-02-10T04:30:25,B
L20260215-0002205,O20260215-000852,P00079,1,97.49,SKU-00079,5.00,0.10,2026-02-11T09:09:00,legacy
L20260215-0002206,O20260215-000853,P00021,1,85.06,SKU-00021,5.00,0.07,2026-02-11T17:34:53,C
L20260215-0002207,O20260215-000853,P00051,1,88.95,SKU-00051,0.00,0.07,2026-02-08T07:29:04,A
L20260215-0002208,O20260215-000854,P00047,1,98.50,SKU-00047,0.00,0.00,2026-02-14T17:02:44,C
L20260215-0002209,O20260215-000854,P00020,2,173.61,SKU-00020,3.00,0.25,2026-02-14T08:50:07,B
L20260215-0002210,O20260215-000854,P00078,1,203.66,SKU-00078,5.00,0.20,2026-02-15T12:05:01,legacy
L20260215-0002211,O20260215-000855,P00059,1,6.15,SKU-00059,5.00,0.25,2026-02-14T03:52:37,A
L20260215-0002212,O20260215-000855,P00103,3,131.37,SKU-00103,0.00,0.10,2026-02-09T21:43:38,C
L20260215-0002213,O20260215-000855,P00019,1,267.61,SKU-00019,3.00,0.20,2026-02-12T09:04:02,legacy
L20260215-0002214,O20260215-000856,P00034,1,159.22,SKU-00034,1.50,0.00,2026-02-12T02:33:06,C
L20260215-0002215,O20260215-000856,P00015,3,114.30,SKU-00015,0.00,0.10,2026-02-15T10:58:05,
L20260215-0002216,O20260215-000857,P00021,1,85.06,SKU-00021,0.00,0.20,2026-02-15T09:19:28,
L20260215-0002217,O20260215-000857,P00005,3,30.97,SKU-00005,1.50,0.20,2026-02-15T18:47:17,
L20260215-0002218,O20260215-000858,P00104,2,71.48,SKU-00104,3.00,0.00,2026-02-11T21:52:32,B
L20260215-0002219,O20260215-000859,P00068,1,207.20,SKU-00068,0.00,0.00,2026-02-12T03:16:51,C
L20260215-0002220,O20260215-000859,P00104,1,71.48,SKU-00104,3.00,0.10,2026-02-10T15:08:48,B
L20260215-0002221,O20260215-000859,P00020,2,173.61,SKU-00020,1.50,0.20,2026-02-11T01:29:46,legacy
L20260215-0002222,O20260215-000859,P00035,1,122.53,SKU-00035,0.00,0.07,2026-02-08T08:16:39,C
L20260215-0002223,O20260215-000860,P00001,3,124.15,SKU-00001,0.00,0.07,2026-02-14T22:14:25,
L20260215-0002224,O20260215-000860,P00096,3,48.69,SKU-00096,1.50,0.00,2026-02-13T20:25:19,
L20260215-0002225,O20260215-000860,P00010,1,171.97,SKU-00010,3.00,0.00,2026-02-12T05:27:48,
L20260215-0002226,O20260215-000860,P00104,2,71.48,SKU-00104,1.50,0.07,2026-02-14T22:41:35,legacy
L20260215-0002227,O20260215-000861,P00045,2,290.65,SKU-00045,3.00,0.07,2026-02-14T21:53:02,A
L20260215-0002228,O20260215-000862,P00004,3,182.76,SKU-00004,5.00,0.20,2026-02-10T09:26:50,legacy
L20260215-0002229,O20260215-000863,P00022,1,70.70,SKU-00022,0.00,0.20,2026-02-15T12:59:18,C
L20260215-0002230,O20260215-000864,P00008,1,137.16,SKU-00008,3.00,0.10,2026-02-09T14:38:19,B
L20260215-0002231,O20260215-000865,P00100,3,132.98,SKU-00100,5.00,0.25,2026-02-11T16:16:33,A
L20260215-0002232,O20260215-000865,P00009,2,17.27,SKU-00009,0.00,0.07,2026-02-09T03:01:03,A
L20260215-0002233,O20260215-000865,P00118,2,250.87,SKU-00118,3.00,0.00,2026-02-14T14:31:48,
L20260215-0002234,O20260215-000865,P00111,1,155.49,SKU-00111,3.00,0.10,2026-02-11T19:12:51,C
L20260215-0002235,O20260215-000866,P00105,1,262.46,SKU-00105,3.00,0.25,2026-02-14T03:59:56,
L20260215-0002236,O20260215-000866,P00010,2,171.97,SKU-00010,0.00,0.25,2026-02-09T01:02:17,B
L20260215-0002237,O20260215-000867,P00022,1,70.70,SKU-00022,1.50,0.10,2026-02-11T02:51:22,legacy
L20260215-0002238,O20260215-000868,P00109,3,202.31,SKU-00109,3.00,0.20,2026-02-11T07:14:14,
L20260215-0002239,O20260215-000868,P00086,3,41.51,SKU-00086,1.50,0.25,2026-02-09T22:59:21,A
L20260215-0002240,O20260215-000868,P00048,1,71.42,SKU-00048,0.00,0.25,2026-02-14T15:49:43,
L20260215-0002241,O20260215-000869,P00105,1,262.46,SKU-00105,0.00,0.10,2026-02-12T00:56:59,C
L20260215-0002242,O20260215-000870,P00040,3,69.60,SKU-00040,5.00,0.25,2026-02-13T12:40:25,
L20260215-0002243,O20260215-000871,P00028,2,263.53,SKU-00028,0.00,0.25,2026-02-08T20:53:29,legacy
L20260215-0002244,O20260215-000871,P00031,1,37.45,SKU-00031,3.00,0.07,2026-02-11T13:44:58,C
L20260215-0002245,O20260215-000871,P00020,1,173.61,SKU-00020,5.00,0.20,2026-02-13T06:50:47,legacy
L20260215-0002246,O20260215-000872,P00109,3,202.31,SKU-00109,3.00,0.10,2026-02-12T19:09:55,A
L20260215-0002247,O20260215-000872,P00062,2,71.15,SKU-00062,5.00,0.20,2026-02-14T08:44:05,B
L20260215-0002248,O20260215-000872,P00119,1,289.27,SKU-00119,1.50,0.25,2026-02-12T03:57:48,
L20260215-0002249,O20260215-000873,P00118,3,250.87,SKU-00118,3.00,0.20,2026-02-15T13:00:23,B
L20260215-0002250,O20260215-000873,P00047,3,98.50,SKU-00047,0.00,0.20,2026-02-12T10:29:38,legacy
L20260215-0002251,O20260215-000873,P00017,1,188.62,SKU-00017,0.00,0.20,2026-02-13T10:01:25,
L20260215-0002252,O20260215-000873,P00090,3,34.54,SKU-00090,5.00,0.25,2026-02-12T11:48:16,
L20260215-0002253,O20260215-000874,P00039,2,49.71,SKU-00039,0.00,0.25,2026-02-08T00:06:18,A
L20260215-0002254,O20260215-000874,P00085,1,67.36,SKU-00085,1.50,0.20,2026-02-15T07:38:45,A
L20260215-0002255,O20260215-000874,P00031,1,37.45,SKU-00031,0.00,0.20,2026-02-14T23:34:25,
L20260215-0002256,O20260215-000874,P00051,3,88.95,SKU-00051,0.00,0.10,2026-02-10T04:38:53,
L20260215-0002257,O20260215-000875,P00043,1,58.92,SKU-00043,5.00,0.07,2026-02-09T01:00:03,B
L20260215-0002258,O20260215-000876,P00101,1,276.64,SKU-00101,0.00,0.00,2026-02-10T13:04:26,legacy
L20260215-0002259,O20260215-000877,P00109,3,202.31,SKU-00109,3.00,0.07,2026-02-11T08:49:47,
L20260215-0002260,O20260215-000878,P00018,1,7.46,SKU-00018,0.00,0.00,2026-02-15T21:47:35,
L20260215-0002261,O20260215-000879,P00084,1,90.61,SKU-00084,5.00,0.10,2026-02-09T18:39:03,A
L20260215-0002262,O20260215-000879,P00098,3,27.94,SKU-00098,3.00,0.20,2026-02-13T06:43:59,B
L20260215-0002263,O20260215-000880,P00010,1,171.97,SKU-00010,1.50,0.10,2026-02-14T15:43:56,C
L20260215-0002264,O20260215-000880,P00060,1,274.02,SKU-00060,3.00,0.10,2026-02-10T23:26:04,legacy
L20260215-0002265,O20260215-000881,P00017,1,188.62,SKU-00017,5.00,0.25,2026-02-13T04:01:26,legacy
L20260215-0002266,O20260215-000881,P00028,1,263.53,SKU-00028,5.00,0.20,2026-02-11T03:30:24,B
L20260215-0002267,O20260215-000882,P00082,1,141.76,SKU-00082,0.00,0.07,2026-02-12T13:16:48,C
L20260215-0002268,O20260215-000883,P00089,2,221.76,SKU-00089,5.00,0.07,2026-02-09T16:12:20,
L20260215-0002269,O20260215-000884,P00053,2,91.53,SKU-00053,3.00,0.10,2026-02-15T07:09:14,legacy
L20260215-0002270,O20260215-000885,P00092,3,168.91,SKU-00092,0.00,0.07,2026-02-10T04:50:57,legacy
L20260215-0002271,O20260215-000886,P00114,2,246.88,SKU-00114,3.00,0.00,2026-02-13T12:56:38,
L20260215-0002272,O20260215-000886,P00031,2,37.45,SKU-00031,5.00,0.10,2026-02-10T05:59:11,
L20260215-0002273,O20260215-000887,P00024,3,218.72,SKU-00024,3.00,0.10,2026-02-11T09:43:33,A
L20260215-0002274,O20260215-000887,P00036,1,314.75,SKU-00036,3.00,0.25,2026-02-09T16:07:55,A
L20260215-0002275,O20260215-000887,P00114,1,246.88,SKU-00114,0.00,0.10,2026-02-12T07:02:27,
L20260215-0002276,O20260215-000888,P00004,3,182.76,SKU-00004,5.00,0.00,2026-02-10T17:31:30,C
L20260215-0002277,O20260215-000888,P00011,1,51.47,SKU-00011,1.50,0.10,2026-02-15T20:58:24,
L20260215-0002278,O20260215-000888,P00090,1,34.54,SKU-00090,3.00,0.25,2026-02-08T19:03:10,B
L20260215-0002279,O20260215-000889,P00074,1,101.93,SKU-00074,0.00,0.00,2026-02-11T12:15:29,
L20260215-0002280,O20260215-000889,P00022,1,70.70,SKU-00022,3.00,0.07,2026-02-09T12:46:01,
L20260215-0002281,O20260215-000889,P00028,1,263.53,SKU-00028,0.00,0.10,2026-02-11T02:34:50,C
L20260215-0002282,O20260215-000890,P00023,3,170.56,SKU-00023,1.50,0.10,2026-02-08T14:49:14,A
L20260215-0002283,O20260215-000891,P00118,3,250.87,SKU-00118,0.00,0.25,2026-02-10T15:54:37,B
L20260215-0002284,O20260215-000891,P00041,1,243.67,SKU-00041,0.00,0.25,2026-02-13T08:46:28,A
L20260215-0002285,O20260215-000891,P00035,1,122.53,SKU-00035,0.00,0.00,2026-02-08T21:13:25,C
L20260215-0002286,O20260215-000891,P00119,2,289.27,SKU-00119,0.00,0.07,2026-02-09T04:22:25,
L20260215-0002287,O20260215-000892,P00111,2,155.49,SKU-00111,0.00,0.00,2026-02-13T11:35:18,B
L20260215-0002288,O20260215-000892,P00094,1,184.89,SKU-00094,0.00,0.07,2026-02-15T00:34:02,B
L20260215-0002289,O20260215-000892,P00047,2,98.50,SKU-00047,0.00,0.00,2026-02-13T18:10:40,A
L20260215-0002290,O20260215-000892,P00033,3,222.37,SKU-00033,0.00,0.25,2026-02-08T07:58:53,B
L20260215-0002291,O20260215-000893,P00103,1,131.37,SKU-00103,0.00,0.20,2026-02-12T02:10:40,C
L20260215-0002292,O20260215-000893,P00057,1,50.52,SKU-00057,3.00,0.10,2026-02-11T17:22:09,B
L20260215-0002293,O20260215-000894,P00001,2,124.15,SKU-00001,0.00,0.00,2026-02-14T19:28:54,C
L20260215-0002294,O20260215-000894,P00003,3,137.80,SKU-00003,1.50,0.07,2026-02-08T08:53:43,B
L20260215-0002295,O20260215-000895,P00056,1,179.45,SKU-00056,3.00,0.25,2026-02-09T06:40:25,B
L20260215-0002296,O20260215-000896,P00009,1,17.27,SKU-00009,5.00,0.10,2026-02-10T10:05:43,C
L20260215-0002297,O20260215-000896,P00091,1,176.65,SKU-00091,0.00,0.10,2026-02-14T01:32:07,B
L20260215-0002298,O20260215-000896,P00080,1,72.41,SKU-00080,5.00,0.10,2026-02-13T04:27:56,C
L20260215-0002299,O20260215-000897,P00027,1,108.58,SKU-00027,0.00,0.07,2026-02-09T00:28:08,
L20260215-0002300,O20260215-000897,P00017,1,188.62,SKU-00017,1.50,0.00,2026-02-13T23:41:33,A
L20260215-0002301,O20260215-000898,P00001,1,124.15,SKU-00001,1.50,0.07,2026-02-11T06:29:21,A
L20260215-0002302,O20260215-000898,P00104,1,71.48,SKU-00104,5.00,0.00,2026-02-09T18:09:54,legacy
L20260215-0002303,O20260215-000899,P00111,3,155.49,SKU-00111,0.00,0.20,2026-02-09T07:07:27,C
L20260215-0002304,O20260215-000900,P00079,2,97.49,SKU-00079,5.00,0.20,2026-02-11T00:15:13,legacy
L20260215-0002305,O20260215-000900,P00110,1,85.31,SKU-00110,1.50,0.10,2026-02-11T08:04:01,legacy
L20260215-0002306,O20260215-000900,P00050,1,15.11,SKU-00050,3.00,0.20,2026-02-11T18:29:00,C
L20260215-0002307,O20260215-000900,P00004,3,182.76,SKU-00004,1.50,0.10,2026-02-10T17:01:06,legacy
L20260215-0002308,O20260215-000901,P00094,1,184.89,SKU-00094,3.00,0.20,2026-02-11T04:37:26,
L20260215-0002309,O20260215-000901,P00107,1,155.56,SKU-00107,5.00,0.00,2026-02-13T09:06:07,A
L20260215-0002310,O20260215-000901,P00046,1,153.99,SKU-00046,1.50,0.00,2026-02-09T19:36:45,
L20260215-0002311,O20260215-000902,P00013,1,90.80,SKU-00013,0.00,0.10,2026-02-13T22:21:23,B
L20260215-0002312,O20260215-000902,P00021,1,85.06,SKU-00021,0.00,0.07,2026-02-15T10:32:53,A
L20260215-0002313,O20260215-000902,P00071,1,129.32,SKU-00071,3.00,0.20,2026-02-11T07:22:58,C
L20260215-0002314,O20260215-000902,P00035,1,122.53,SKU-00035,1.50,0.20,2026-02-09T05:21:47,A
L20260215-0002315,O20260215-000903,P00077,1,157.08,SKU-00077,0.00,0.00,2026-02-14T03:58:21,C
L20260215-0002316,O20260215-000903,P00100,1,132.98,SKU-00100,1.50,0.10,2026-02-09T05:29:28,B
L20260215-0002317,O20260215-000904,P00052,1,257.89,SKU-00052,0.00,0.00,2026-02-08T08:34:37,A
L20260215-0002318,O20260215-000904,P00003,1,137.80,SKU-00003,0.00,0.10,2026-02-10T17:57:51,C
L20260215-0002319,O20260215-000905,P00091,3,176.65,SKU-00091,3.00,0.00,2026-02-09T02:51:56,B
L20260215-0002320,O20260215-000906,P00106,1,154.38,SKU-00106,0.00,0.25,2026-02-12T11:44:21,C
L20260215-0002321,O20260215-000906,P00089,1,221.76,SKU-00089,1.50,0.25,2026-02-13T01:20:47,B
L20260215-0002322,O20260215-000906,P00102,1,104.40,SKU-00102,5.00,0.20,2026-02-08T10:28:31,A
L20260215-0002323,O20260215-000907,P00014,1,22.31,SKU-00014,3.00,0.25,2026-02-12T00:45:19,B
L20260215-0002324,O20260215-000908,P00060,2,274.02,SKU-00060,0.00,0.20,2026-02-11T10:49:55,A
L20260215-0002325,O20260215-000908,P00088,1,237.21,SKU-00088,0.00,0.20,2026-02-15T17:36:57,legacy
L20260215-0002326,O20260215-000908,P00109,1,202.31,SKU-00109,5.00,0.25,2026-02-08T01:51:48,C
L20260215-0002327,O20260215-000909,P00113,1,185.01,SKU-00113,0.00,0.07,2026-02-14T06:12:24,C
L20260215-0002328,O20260215-000910,P00008,1,137.16,SKU-00008,5.00,0.07,2026-02-11T14:27:43,
L20260215-0002329,O20260215-000910,P00096,1,48.69,SKU-00096,0.00,0.25,2026-02-12T00:43:58,A
L20260215-0002330,O20260215-000910,P00064,1,62.69,SKU-00064,3.00,0.00,2026-02-14T23:15:46,C
L20260215-0002331,O20260215-000910,P00108,3,188.64,SKU-00108,5.00,0.20,2026-02-13T14:06:40,legacy
L20260215-0002332,O20260215-000911,P00090,2,34.54,SKU-00090,0.00,0.07,2026-02-12T16:43:31,legacy
L20260215-0002333,O20260215-000911,P00096,3,48.69,SKU-00096,5.00,0.10,2026-02-13T16:23:46,B
L20260215-0002334,O20260215-000911,P00083,3,60.39,SKU-00083,5.00,0.25,2026-02-09T16:41:06,C
L20260215-0002335,O20260215-000912,P00100,1,132.98,SKU-00100,5.00,0.20,2026-02-09T22:15:03,B
L20260215-0002336,O20260215-000912,P00092,3,168.91,SKU-00092,0.00,0.00,2026-02-08T07:31:37,B
L20260215-0002337,O20260215-000912,P00037,3,162.77,SKU-00037,5.00,0.25,2026-02-11T08:20:29,B
L20260215-0002338,O20260215-000913,P00112,1,208.38,SKU-00112,1.50,0.00,2026-02-15T14:25:37,B
L20260215-0002339,O20260215-000913,P00116,1,120.21,SKU-00116,3.00,0.07,2026-02-09T20:49:59,A
L20260215-0002340,O20260215-000913,P00044,1,216.91,SKU-00044,0.00,0.10,2026-02-08T11:36:06,A
L20260215-0002341,O20260215-000914,P00004,1,182.76,SKU-00004,0.00,0.10,2026-02-12T19:33:21,legacy
L20260215-0002342,O20260215-000914,P00081,3,102.43,SKU-00081,0.00,0.20,2026-02-09T11:32:54,A
L20260215-0002343,O20260215-000914,P00041,2,243.67,SKU-00041,5.00,0.07,2026-02-08T10:26:42,B
L20260215-0002344,O20260215-000914,P00103,3,131.37,SKU-00103,0.00,0.20,2026-02-08T16:19:52,legacy
L20260215-0002345,O20260215-000915,P00040,1,69.60,SKU-00040,3.00,0.07,2026-02-15T14:41:42,C
L20260215-0002346,O20260215-000915,P00013,2,90.80,SKU-00013,3.00,0.20,2026-02-14T21:40:55,C
L20260215-0002347,O20260215-000916,P00041,1,243.67,SKU-00041,0.00,0.20,2026-02-12T12:37:10,B
L20260215-0002348,O20260215-000916,P00020,1,173.61,SKU-00020,0.00,0.25,2026-02-10T09:00:15,A
L20260215-0002349,O20260215-000917,P00053,3,91.53,SKU-00053,5.00,0.25,2026-02-10T04:35:21,C
L20260215-0002350,O20260215-000917,P00088,1,237.21,SKU-00088,0.00,0.07,2026-02-14T04:59:52,A
L20260215-0002351,O20260215-000918,P00041,1,243.67,SKU-00041,0.00,0.20,2026-02-12T10:44:42,C
L20260215-0002352,O20260215-000918,P00091,1,176.65,SKU-00091,0.00,0.10,2026-02-08T04:16:38,A
L20260215-0002353,O20260215-000918,P00089,1,221.76,SKU-00089,0.00,0.07,2026-02-13T07:17:30,legacy
L20260215-0002354,O20260215-000918,P00063,1,96.72,SKU-00063,1.50,0.20,2026-02-10T01:37:15,
L20260215-0002355,O20260215-000919,P00041,1,243.67,SKU-00041,1.50,0.20,2026-02-15T04:02:02,legacy
L20260215-0002356,O20260215-000919,P00053,1,91.53,SKU-00053,3.00,0.10,2026-02-14T06:26:19,B
L20260215-0002357,O20260215-000919,P00034,1,159.22,SKU-00034,5.00,0.10,2026-02-08T12:07:49,C
L20260215-0002358,O20260215-000920,P00014,3,22.31,SKU-00014,5.00,0.07,2026-02-14T20:09:30,B
L20260215-0002359,O20260215-000920,P00087,1,108.17,SKU-00087,3.00,0.10,2026-02-15T14:47:25,
L20260215-0002360,O20260215-000921,P00116,1,120.21,SKU-00116,0.00,0.07,2026-02-12T20:45:40,
L20260215-0002361,O20260215-000922,P00047,2,98.50,SKU-00047,1.50,0.10,2026-02-09T17:44:22,legacy
L20260215-0002362,O20260215-000923,P00086,1,41.51,SKU-00086,1.50,0.10,2026-02-10T10:51:21,legacy
