order_line_id,order_id,product_id,quantity,unit_price,line_discount_amount,line_ts
L20260217-0003184,O20260217-001238,P00031,1,37.45,0.00,2026-02-17T15:21:12
L20260217-0003185,O20260217-001239,P00098,1,27.94,0.00,2026-02-11T18:17:33
L20260217-0003186,O20260217-001239,P00107,1,155.56,0.00,2026-02-14T04:52:46
L20260217-0003187,O20260217-001239,P00017,1,188.62,0.00,2026-02-17T17:30:50
L20260217-0003188,O20260217-001240,P00068,1,207.20,3.00,2026-02-13T06:37:53
L20260217-0003189,O20260217-001240,P00107,1,155.56,0.00,2026-02-17T16:22:35
L20260217-0003190,O20260217-001241,P00067,1,109.86,3.00,2026-02-15T03:14:07
L20260217-0003191,O20260217-001241,P00055,3,102.20,0.00,2026-02-11T20:03:33
L20260217-0003192,O20260217-001241,P00001,3,124.15,5.00,2026-02-10T02:23:06
L20260217-0003193,O20260217-001241,P00080,1,72.41,0.00,2026-02-13T08:45:38
L20260217-0003194,O20260217-001242,P00070,1,82.95,0.00,2026-02-13T20:28:56
L20260217-0003195,O20260217-001242,P00095,1,130.25,5.00,2026-02-16T07:50:13
L20260217-0003196,O20260217-001243,P00008,1,137.16,5.00,2026-02-11T05:19:53
L20260217-0003197,O20260217-001243,P00047,1,98.50,1.50,2026-02-10T15:56:00
L20260217-0003198,O20260217-001243,P00002,1,112.31,0.00,2026-02-12T20:32:33
L20260217-0003199,O20260217-001243,P00017,1,188.62,1.50,2026-02-16T21:07:49
L20260217-0003200,O20260217-001244,P00086,3,41.51,0.00,2026-02-14T16:20:03
L20260217-0003201,O20260217-001245,P00094,3,184.89,1.50,2026-02-10T18:35:48
L20260217-0003202,O20260217-001245,P00022,1,70.70,5.00,2026-02-12T07:29:04
L20260217-0003203,O20260217-001246,P00055,1,102.20,0.00,2026-02-14T06:47:02
L20260217-0003204,O20260217-001246,P00058,1,103.09,3.00,2026-02-11T21:57:31
L20260217-0003205,O20260217-001246,P00008,2,137.16,0.00,2026-02-16T03:36:50
L20260217-0003206,O20260217-001247,P00092,2,168.91,0.00,2026-02-12T10:47:14
L20260217-0003207,O20260217-001248,P00077,1,157.08,3.00,2026-02-16T06:16:43
L20260217-0003208,O20260217-001249,P00030,2,214.54,3.00,2026-02-16T14:00:49
L20260217-0003209,O20260217-001250,P00063,3,96.72,0.00,2026-02-11T03:51:34
L20260217-0003210,O20260217-001250,P00075,1,144.44,0.00,2026-02-13T11:33:08
L20260217-0003211,O20260217-001251,P00062,1,71.15,0.00,2026-02-15T08:28:44
L20260217-0003212,O20260217-001252,P00017,1,188.62,3.00,2026-02-13T15:15:09
L20260217-0003213,O20260217-001252,P00047,1,98.50,0.00,2026-02-12T04:36:42
L20260217-0003214,O20260217-001252,P00078,1,203.66,1.50,2026-02-11T14:39:40
L20260217-0003215,O20260217-001253,P00017,1,188.62,3.00,2026-02-17T19:22:30
L20260217-0003216,O20260217-001254,P00109,1,202.31,1.50,2026-02-17T17:06:36
L20260217-0003217,O20260217-001255,P00070,1,82.95,1.50,2026-02-11T10:45:28
L20260217-0003218,O20260217-001255,P00096,3,48.69,0.00,2026-02-13T09:11:02
L20260217-0003219,O20260217-001255,P00041,1,243.67,0.00,2026-02-16T11:59:44
L20260217-0003220,O20260217-001255,P00086,1,41.51,3.00,2026-02-13T00:36:50
L20260217-0003221,O20260217-001256,P00007,1,29.79,3.00,2026-02-12T19:47:38
L20260217-0003222,O20260217-001256,P00087,1,108.17,0.00,2026-02-16T07:56:16
L20260217-0003223,O20260217-001257,P00039,1,49.71,1.50,2026-02-17T12:40:30
L20260217-0003224,O20260217-001258,P00074,1,101.93,1.50,2026-02-11T11:19:33
L20260217-0003225,O20260217-001259,P00001,1,124.15,0.00,2026-02-13T01:01:18
L20260217-0003226,O20260217-001259,P00092,2,168.91,1.50,2026-02-13T19:29:24
L20260217-0003227,O20260217-001259,P00068,1,207.20,1.50,2026-02-10T11:10:23
L20260217-0003228,O20260217-001260,P00003,1,137.80,5.00,2026-02-15T09:25:27
L20260217-0003229,O20260217-001260,P00018,1,7.46,3.00,2026-02-17T02:12:33
L20260217-0003230,O20260217-001260,P00006,2,30.11,5.00,2026-02-16T02:32:07
L20260217-0003231,O20260217-001260,P00022,1,70.70,3.00,2026-02-15T21:42:23
L20260217-0003232,O20260217-001261,P00072,1,143.56,1.50,2026-02-12T19:01:19
L20260217-0003233,O20260217-001262,P00014,1,22.31,0.00,2026-02-16T15:16:04
L20260217-0003234,O20260217-001262,P00081,2,102.43,1.50,2026-02-10T23:42:24
L20260217-0003235,O20260217-001263,P00105,1,262.46,0.00,2026-02-15T22:15:07
L20260217-0003236,O20260217-001263,P00075,2,144.44,3.00,2026-02-17T05:23:19
L20260217-0003237,O20260217-001264,P00013,2,90.80,5.00,2026-02-13T08:24:37
L20260217-0003238,O20260217-001264,P00054,1,190.10,1.50,2026-02-15T08:43:19
L20260217-0003239,O20260217-001264,P00011,3,51.47,0.00,2026-02-16T02:54:51
L20260217-0003240,O20260217-001264,P00102,1,104.40,3.00,2026-02-13T23:43:43
L20260217-0003241,O20260217-001265,P00099,2,80.35,5.00,2026-02-10T23:45:20
L20260217-0003242,O20260217-001265,P00074,1,101.93,1.50,2026-02-13T00:56:00
L20260217-0003243,O20260217-001265,P00074,1,101.93,3.00,2026-02-13T12:15:56
L20260217-0003244,O20260217-001266,P00083,1,60.39,5.00,2026-02-10T17:01:41
L20260217-0003245,O20260217-001266,P00062,1,71.15,3.00,2026-02-10T13:51:16
L20260217-0003246,O20260217-001267,P00119,1,289.27,3.00,2026-02-17T10:15:17
L20260217-0003247,O20260217-001267,P00110,1,85.31,1.50,2026-02-16T17:29:07
L20260217-0003248,O20260217-001267,P00055,1,102.20,5.00,2026-02-10T09:28:27
L20260217-0003249,O20260217-001267,P00104,2,71.48,3.00,2026-02-11T01:44:39
L20260217-0003250,O20260217-001268,P00076,1,67.82,5.00,2026-02-12T05:24:53
L20260217-0003251,O20260217-001269,P00017,1,188.62,5.00,2026-02-14T03:28:27
L20260217-0003252,O20260217-001269,P00111,3,155.49,3.00,2026-02-12T13:48:54
L20260217-0003253,O20260217-001269,P00058,1,103.09,5.00,2026-02-17T20:23:54
L20260217-0003254,O20260217-001270,P00094,1,184.89,5.00,2026-02-10T01:42:19
L20260217-0003255,O20260217-001270,P00110,1,85.31,3.00,2026-02-10T03:17:02
L20260217-0003256,O20260217-001270,P00046,2,153.99,3.00,2026-02-15T11:47:01
L20260217-0003257,O20260217-001270,P00090,1,34.54,1.50,2026-02-13T08:39:18
L20260217-0003258,O20260217-001271,P00082,3,141.76,5.00,2026-02-12T14:51:20
L20260217-0003259,O20260217-001272,P00048,2,71.42,0.00,2026-02-13T08:59:47
L20260217-0003260,O20260217-001272,P00071,1,129.32,1.50,2026-02-12T22:42:41
L20260217-0003261,O20260217-001273,P00050,2,15.11,0.00,2026-02-12T22:17:11
L20260217-0003262,O20260217-001273,P00001,1,124.15,0.00,2026-02-12T06:49:00
L20260217-0003263,O20260217-001273,P00088,2,237.21,0.00,2026-02-10T04:33:40
L20260217-0003264,O20260217-001273,P00091,1,176.65,3.00,2026-02-12T21:32:56
L20260217-0003265,O20260217-001274,P00008,3,137.16,5.00,2026-02-15T23:56:41
L20260217-0003266,O20260217-001274,P00055,2,102.20,0.00,2026-02-11T13:51:39
L20260217-0003267,O20260217-001274,P00070,1,82.95,0.00,2026-02-11T21:56:19
L20260217-0003268,O20260217-001274,P00034,3,159.22,0.00,2026-02-13T06:44:23
L20260217-0003269,O20260217-001275,P00008,2,137.16,5.00,2026-02-16T13:22:14
L20260217-0003270,O20260217-001276,P00064,2,62.69,5.00,2026-02-15T08:31:06
L20260217-0003271,O20260217-001276,P00054,1,190.10,5.00,2026-02-16T12:12:43
L20260217-0003272,O20260217-001276,P00055,3,102.20,1.50,2026-02-10T05:21:38
L20260217-0003273,O20260217-001276,P00023,1,170.56,0.00,2026-02-11T19:04:22
L20260217-0003274,O20260217-001277,P00079,2,97.49,5.00,2026-02-10T19:32:09
L20260217-0003275,O20260217-001277,P00027,1,108.58,3.00,2026-02-17T16:04:12
L20260217-0003276,O20260217-001277,P00028,1,263.53,5.00,2026-02-15T06:49:30
L20260217-0003277,O20260217-001277,P00039,1,49.71,0.00,2026-02-15T08:39:18
L20260217-0003278,O20260217-001278,P00071,1,129.32,0.00,2026-02-12T19:39:07
L20260217-0003279,O20260217-001279,P00083,1,60.39,5.00,2026-02-11T08:02:15
L20260217-0003280,O20260217-001280,P00014,3,22.31,0.00,2026-02-10T19:57:06
L20260217-0003281,O20260217-001281,P00056,1,179.45,5.00,2026-02-16T02:41:09
L20260217-0003282,O20260217-001281,P00004,1,182.76,0.00,2026-02-17T11:38:24
L20260217-0003283,O20260217-001281,P00056,2,179.45,5.00,2026-02-15T06:36:59
L20260217-0003284,O20260217-001282,P00106,1,154.38,5.00,2026-02-10T11:56:55
L20260217-0003285,O20260217-001282,P00087,1,108.17,0.00,2026-02-13T12:15:30
L20260217-0003286,O20260217-001282,P00093,2,184.63,0.00,2026-02-12T01:47:15
L20260217-0003287,O20260217-001283,P00105,1,262.46,3.00,2026-02-15T21:50:05
L20260217-0003288,O20260217-001284,P00074,1,101.93,0.00,2026-02-15T11:02:53
L20260217-0003289,O20260217-001284,P00043,1,58.92,0.00,2026-02-11T14:39:38
L20260217-0003290,O20260217-001284,P00019,1,267.61,1.50,2026-02-14T22:29:09
L20260217-0003291,O20260217-001284,P00051,3,88.95,3.00,2026-02-14T23:32:56
L20260217-0003292,O20260217-001285,P00111,3,155.49,0.00,2026-02-11T14:10:32
L20260217-0003293,O20260217-001285,P00063,2,96.72,1.50,2026-02-11T19:05:03
L20260217-0003294,O20260217-001285,P00038,1,122.02,3.00,2026-02-15T19:24:55
L20260217-0003295,O20260217-001286,P00041,1,243.67,1.50,2026-02-12T15:14:04
L20260217-0003296,O20260217-001286,P00086,3,41.51,0.00,2026-02-17T09:01:16
L20260217-0003297,O20260217-001286,P00010,1,171.97,3.00,2026-02-16T04:38:49
L20260217-0003298,O20260217-001286,P00103,1,131.37,0.00,2026-02-10T01:59:11
L20260217-0003299,O20260217-001287,P00047,2,98.50,5.00,2026-02-13T19:25:14
L20260217-0003300,O20260217-001287,P00103,1,131.37,1.50,2026-02-16T18:13:23
L20260217-0003301,O20260217-001287,P00027,1,108.58,0.00,2026-02-16T23:20:32
L20260217-0003302,O20260217-001287,P00039,1,49.71,3.00,2026-02-14T02:52:14
L20260217-0003303,O20260217-001288,P00008,1,137.16,0.00,2026-02-13T18:12:05
L20260217-0003304,O20260217-001288,P00116,2,120.21,1.50,2026-02-17T15:14:00
L20260217-0003305,O20260217-001288,P00024,1,218.72,3.00,2026-02-10T06:15:53
L20260217-0003306,O20260217-001288,P00077,2,157.08,0.00,2026-02-17T03:42:56
L20260217-0003307,O20260217-001289,P00073,1,35.38,3.00,2026-02-16T17:39:54
L20260217-0003308,O20260217-001289,P00021,1,85.06,1.50,2026-02-17T13:04:13
L20260217-0003309,O20260217-001289,P00068,2,207.20,1.50,2026-02-11T12:03:10
L20260217-0003310,O20260217-001290,P00110,1,85.31,1.50,2026-02-12T17:46:02
L20260217-0003311,O20260217-001290,P00107,1,155.56,3.00,2026-02-16T17:45:54
L20260217-0003312,O20260217-001290,P00004,1,182.76,1.50,2026-02-17T02:57:20
L20260217-0003313,O20260217-001291,P00119,1,289.27,0.00,2026-02-12T19:58:57
L20260217-0003314,O20260217-001291,P00118,2,250.87,0.00,2026-02-10T12:38:49
L20260217-0003315,O20260217-001292,P00103,1,131.37,3.00,2026-02-11T13:03:54
L20260217-0003316,O20260217-001292,P00042,1,93.45,5.00,2026-02-11T04:20:30
L20260217-0003317,O20260217-001293,P00002,1,112.31,0.00,2026-02-13T12:55:16
L20260217-0003318,O20260217-001293,P00097,1,166.80,3.00,2026-02-13T21:47:44
L20260217-0003319,O20260217-001293,P00065,2,137.52,0.00,2026-02-12T08:56:06
L20260217-0003320,O20260217-001294,P00064,2,62.69,0.00,2026-02-13T17:35:52
L20260217-0003321,O20260217-001294,P00101,1,276.64,3.00,2026-02-12T17:01:04
L20260217-0003322,O20260217-001295,P00086,1,41.51,1.50,2026-02-17T17:10:25
L20260217-0003323,O20260217-001295,P00063,3,96.72,3.00,2026-02-17T08:17:46
L20260217-0003324,O20260217-001295,P00038,1,122.02,1.50,2026-02-15T19:59:16
L20260217-0003325,O20260217-001295,P00099,1,80.35,3.00,2026-02-17T16:34:03
L20260217-0003326,O20260217-001296,P00109,1,202.31,0.00,2026-02-16T07:28:42
L20260217-0003327,O20260217-001296,P00066,2,10.75,0.00,2026-02-13T19:28:02
L20260217-0003328,O20260217-001296,P00038,1,122.02,1.50,2026-02-11T23:36:42
L20260217-0003329,O20260217-001297,P00038,1,122.02,0.00,2026-02-11T21:34:05
L20260217-0003330,O20260217-001298,P00084,1,90.61,0.00,2026-02-16T08:14:27
L20260217-0003331,O20260217-001298,P00047,3,98.50,3.00,2026-02-14T19:47:41
L20260217-0003332,O20260217-001298,P00101,2,276.64,3.00,2026-02-16T21:03:20
L20260217-0003333,O20260217-001298,P00033,1,222.37,3.00,2026-02-12T01:01:50
L20260217-0003334,O20260217-001299,P00056,1,179.45,0.00,2026-02-12T03:45:47
L20260217-0003335,O20260217-001299,P00069,1,154.69,0.00,2026-02-10T17:16:11
L20260217-0003336,O20260217-001299,P00065,1,137.52,1.50,2026-02-10T13:06:33
L20260217-0003337,O20260217-001299,P00081,2,102.43,3.00,2026-02-17T13:27:31
L20260217-0003338,O20260217-001300,P00089,1,221.76,5.00,2026-02-15T17:48:14
L20260217-0003339,O20260217-001300,P00039,3,49.71,0.00,2026-02-14T00:40:37
L20260217-0003340,O20260217-001301,P00015,1,114.30,0.00,2026-02-15T23:23:39
L20260217-0003341,O20260217-001301,P00063,3,96.72,0.00,2026-02-11T14:58:17
L20260217-0003342,O20260217-001302,P00115,3,138.97,5.00,2026-02-15T21:49:02
L20260217-0003343,O20260217-001303,P00076,3,67.82,1.50,2026-02-10T20:56:49
L20260217-0003344,O20260217-001303,P00051,3,88.95,5.00,2026-02-17T02:11:42
L20260217-0003345,O20260217-001303,P00100,1,132.98,1.50,2026-02-15T01:34:13
L20260217-0003346,O20260217-001304,P00013,1,90.80,5.00,2026-02-17T04:22:31
L20260217-0003347,O20260217-001304,P00106,1,154.38,0.00,2026-02-15T22:03:47
L20260217-0003348,O20260217-001304,P00084,2,90.61,0.00,2026-02-17T07:57:23
L20260217-0003349,O20260217-001304,P00119,1,289.27,5.00,2026-02-16T10:07:25
L20260217-0003350,O20260217-001305,P00116,2,120.21,0.00,2026-02-11T04:36:25
L20260217-0003351,O20260217-001305,P00113,1,185.01,5.00,2026-02-14T12:54:03
L20260217-0003352,O20260217-001305,P00017,1,188.62,0.00,2026-02-10T06:59:09
L20260217-0003353,O20260217-001305,P00104,1,71.48,5.00,2026-02-15T10:55:17
L20260217-0003354,O20260217-001306,P00006,3,30.11,0.00,2026-02-13T00:39:28
L20260217-0003355,O20260217-001306,P00072,2,143.56,0.00,2026-02-10T03:52:53
L20260217-0003356,O20260217-001306,P00069,1,154.69,1.50,2026-02-17T01:40:00
L20260217-0003357,O20260217-001307,P00050,1,15.11,5.00,2026-02-13T07:54:45
L20260217-0003358,O20260217-001307,P00097,3,166.80,0.00,2026-02-17T08:27:03
L20260217-0003359,O20260217-001307,P00029,1,87.92,3.00,2026-02-10T01:24:17
L20260217-0003360,O20260217-001307,P00073,1,35.38,3.00,2026-02-17T09:18:29
L20260217-0003361,O20260217-001308,P00082,1,141.76,5.00,2026-02-17T08:30:00
L20260217-0003362,O20260217-001309,P00063,3,96.72,5.00,2026-02-15T14:27:16
L20260217-0003363,O20260217-001309,P00048,1,71.42,0.00,2026-02-17T10:58:40
L20260217-0003364,O20260217-001310,P00115,1,138.97,5.00,2026-02-12T15:21:19
L20260217-0003365,O20260217-001311,P00027,3,108.58,5.00,2026-02-13T05:31:19
L20260217-0003366,O20260217-001311,P00004,2,182.76,0.00,2026-02-15T16:20:50
L20260217-0003367,O20260217-001311,P00001,2,124.15,0.00,2026-02-12T07:11:00
L20260217-0003368,O20260217-001311,P00048,1,71.42,5.00,2026-02-16T10:53:23
L20260217-0003369,O20260217-001312,P00015,1,114.30,1.50,2026-02-13T14:05:05
L20260217-0003370,O20260217-001313,P00071,3,129.32,3.00,2026-02-17T23:23:07
L20260217-0003371,O20260217-001313,P00027,3,108.58,0.00,2026-02-13T02:32:01
L20260217-0003372,O20260217-001313,P00046,1,153.99,1.50,2026-02-15T00:45:59
L20260217-0003373,O20260217-001313,P00106,1,154.38,3.00,2026-02-17T08:47:23
L20260217-0003374,O20260217-001314,P00043,2,58.92,5.00,2026-02-14T06:51:49
L20260217-0003375,O20260217-001315,P00061,2,230.08,5.00,2026-02-11T17:36:57
L20260217-0003376,O20260217-001315,P00118,3,250.87,1.50,2026-02-14T16:29:53
L20260217-0003377,O20260217-001316,P00006,3,30.11,0.00,2026-02-15T06:38:03
L20260217-0003378,O20260217-001316,P00049,1,130.32,1.50,2026-02-14T13:51:02
L20260217-0003379,O20260217-001317,P00011,1,51.47,1.50,2026-02-14T15:13:39
L20260217-0003380,O20260217-001317,P00109,1,202.31,5.00,2026-02-15T20:20:34
L20260217-0003381,O20260217-001317,P00105,1,262.46,5.00,2026-02-11T12:37:18
L20260217-0003382,O20260217-001317,P00112,1,208.38,3.00,2026-02-14T13:22:43
L20260217-0003383,O20260217-001318,P00011,1,51.47,1.50,2026-02-13T11:26:35
L20260217-0003384,O20260217-001318,P00098,1,27.94,1.50,2026-02-12T03:58:18
L20260217-0003385,O20260217-001319,P00090,1,34.54,0.00,2026-02-10T19:35:37
L20260217-0003386,O20260217-001319,P00062,2,71.15,0.00,2026-02-17T04:12:00
L20260217-0003387,O20260217-001319,P00036,1,314.75,0.00,2026-02-14T22:33:33
L20260217-0003388,O20260217-001319,P00081,1,102.43,0.00,2026-02-11T00:49:09
L20260217-0003389,O20260217-001320,P00004,3,182.76,0.00,2026-02-17T08:00:01
L20260217-0003390,O20260217-001320,P00100,1,132.98,0.00,2026-02-11T12:27:32
L20260217-0003391,O20260217-001320,P00039,2,49.71,0.00,2026-02-15T12:02:47
L20260217-0003392,O20260217-001321,P00060,1,274.02,3.00,2026-02-11T13:12:26
L20260217-0003393,O20260217-001321,P00065,1,137.52,1.50,2026-02-10T06:33:03
L20260217-0003394,O20260217-001322,P00026,1,37.14,0.00,2026-02-10T00:05:38
L20260217-0003395,O20260217-001322,P00103,3,131.37,5.00,2026-02-13T14:31:03
L20260217-0003396,O20260217-001323,P00047,1,98.50,5.00,2026-02-15T03:00:36
L20260217-0003397,O20260217-001323,P00065,2,137.52,0.00,2026-02-10T16:59:43
L20260217-0003398,O20260217-001323,P00023,3,170.56,0.00,2026-02-11T00:00:24
L20260217-0003399,O20260217-001323,P00100,2,132.98,5.00,2026-02-16T05:31:37
L20260217-0003400,O20260217-001324,P00040,1,69.60,1.50,2026-02-13T12:20:32
L20260217-0003401,O20260217-001325,P00055,3,102.20,0.00,2026-02-15T05:40:18
L20260217-0003402,O20260217-001326,P00086,3,41.51,5.00,2026-02-10T00:13:07
L20260217-0003403,O20260217-001327,P00072,1,143.56,5.00,2026-02-13T17:46:00
L20260217-0003404,O20260217-001328,P00114,1,246.88,1.50,2026-02-10T17:36:02
L20260217-0003405,O20260217-001328,P00105,1,262.46,5.00,2026-02-14T08:26:57
L20260217-0003406,O20260217-001328,P00102,1,104.40,5.00,2026-02-10T23:40:08
L20260217-0003407,O20260217-001329,P00008,1,137.16,0.00,2026-02-16T21:32:44
L20260217-0003408,O20260217-001329,P00004,2,182.76,3.00,2026-02-13T01:20:59
L20260217-0003409,O20260217-001329,P00082,3,141.76,5.00,2026-02-13T07:40:01
L20260217-0003410,O20260217-001329,P00068,2,207.20,5.00,2026-02-14T14:33:11
L20260217-0003411,O20260217-001330,P00091,1,176.65,3.00,2026-02-15T13:47:56
L20260217-0003412,O20260217-001330,P00112,3,208.38,5.00,2026-02-17T09:57:05
L20260217-0003413,O20260217-001330,P00043,1,58.92,3.00,2026-02-16T07:40:46
L20260217-0003414,O20260217-001331,P00026,1,37.14,1.50,2026-02-16T15:42:21
L20260217-0003415,O20260217-001331,P00050,1,15.11,1.50,2026-02-13T23:16:15
L20260217-0003416,O20260217-001331,P00026,1,37.14,3.00,2026-02-15T14:14:46
L20260217-0003417,O20260217-001331,P00104,1,71.48,1.50,2026-02-10T13:27:08
L20260217-0003418,O20260217-001332,P00068,1,207.20,0.00,2026-02-13T22:58:25
L20260217-0003419,O20260217-001333,P00115,1,138.97,0.00,2026-02-10T14:18:26
L20260217-0003420,O20260217-001333,P00050,1,15.11,0.00,2026-02-10T16:42:20
L20260217-0003421,O20260217-001333,P00108,2,188.64,1.50,2026-02-12T10:42:54
L20260217-0003422,O20260217-001334,P00020,1,173.61,1.50,2026-02-11T12:29:11
L20260217-0003423,O20260217-001334,P00079,1,97.49,5.00,2026-02-17T14:10:08
L20260217-0003424,O20260217-001334,P00092,2,168.91,3.00,2026-02-13T01:27:42
L20260217-0003425,O20260217-001335,P00013,1,90.80,1.50,2026-02-14T16:10:28
L20260217-0003426,O20260217-001336,P00072,2,143.56,5.00,2026-02-14T07:39:08
L20260217-0003427,O20260217-001336,P00103,1,131.37,5.00,2026-02-11T04:09:22
L20260217-0003428,O20260217-001337,P00055,3,102.20,3.00,2026-02-11T13:05:03
L20260217-0003429,O20260217-001337,P00030,1,214.54,3.00,2026-02-10T08:41:35
L20260217-0003430,O20260217-001337,P00007,3,29.79,1.50,2026-02-10T20:59:05
L20260217-0003431,O20260217-001338,P00107,3,155.56,0.00,2026-02-15T15:14:40
L20260217-0003432,O20260217-001338,P00047,1,98.50,3.00,2026-02-17T23:04:09
L20260217-0003433,O20260217-001338,P00106,2,154.38,3.00,2026-02-11T20:52:02
L20260217-0003434,O20260217-001339,P00010,1,171.97,5.00,2026-02-16T00:03:38
L20260217-0003435,O20260217-001339,P00014,2,22.31,3.00,2026-02-12T09:21:19
L20260217-0003436,O20260217-001339,P00120,1,94.97,0.00,2026-02-16T15:56:33
L20260217-0003437,O20260217-001339,P00112,1,208.38,3.00,2026-02-10T23:19:55
L20260217-0003438,O20260217-001340,P00103,1,131.37,1.50,2026-02-15T10:42:43
L20260217-0003439,O20260217-001340,P00071,3,129.32,5.00,2026-02-14T01:31:49
L20260217-0003440,O20260217-001341,P00021,1,85.06,3.00,2026-02-12T12:36:56
L20260217-0003441,O20260217-001341,P00014,1,22.31,3.00,2026-02-11T02:55:07
L20260217-0003442,O20260217-001342,P00012,1,60.77,1.50,2026-02-15T11:02:01
L20260217-0003443,O20260217-001342,P00053,1,91.53,0.00,2026-02-10T13:58:50
L20260217-0003444,O20260217-001342,P00033,1,222.37,1.50,2026-02-13T21:26:21
L20260217-0003445,O20260217-001342,P00018,2,7.46,1.50,2026-02-12T06:18:31
L20260217-0003446,O20260217-001343,P00087,1,108.17,0.00,2026-02-11T00:10:32
L20260217-0003447,O20260217-001343,P00048,3,71.42,1.50,2026-02-10T10:22:38
L20260217-0003448,O20260217-001343,P00082,3,141.76,3.00,2026-02-15T01:16:46
L20260217-0003449,O20260217-001343,P00009,1,17.27,1.50,2026-02-15T07:03:51
L20260217-0003450,O20260217-001344,P00052,1,257.89,0.00,2026-02-14T20:08:38
L20260217-0003451,O20260217-001345,P00059,1,6.15,1.50,2026-02-14T07:49:45
L20260217-0003452,O20260217-001345,P00019,3,267.61,1.50,2026-02-10T16:27:58
L20260217-0003453,O20260217-001345,P00118,2,250.87,1.50,2026-02-13T15:29:08
L20260217-0003454,O20260217-001345,P00034,2,159.22,1.50,2026-02-10T04:50:55
L20260217-0003455,O20260217-001346,P00085,1,67.36,0.00,2026-02-17T13:28:40
L20260217-0003456,O20260217-001346,P00115,1,138.97,0.00,2026-02-10T17:18:18
L20260217-0003457,O20260217-001347,P00079,3,97.49,0.00,2026-02-14T02:24:40
L20260217-0003458,O20260217-001347,P00034,1,159.22,0.00,2026-02-15T13:22:32
L20260217-0003459,O20260217-001348,P00078,2,203.66,0.00,2026-02-13T16:37:04
L20260217-0003460,O20260217-001348,P00001,1,124.15,1.50,2026-02-16T11:49:54
L20260217-0003461,O20260217-001348,P00107,3,155.56,1.50,2026-02-13T21:22:57
L20260217-0003462,O20260217-001349,P00045,1,290.65,0.00,2026-02-13T06:58:16
L20260217-0003463,O20260217-001349,P00036,1,314.75,3.00,2026-02-17T13:54:41
L20260217-0003464,O20260217-001349,P00028,1,263.53,0.00,2026-02-12T19:41:18
L20260217-0003465,O20260217-001349,P00031,1,37.45,3.00,2026-02-13T10:39:01
L20260217-0003466,O20260217-001350,P00027,1,108.58,0.00,2026-02-15T02:40:06
L20260217-0003467,O20260217-001350,P00102,1,104.40,0.00,2026-02-13T20:09:06
L20260217-0003468,O20260217-001350,P00085,3,67.36,0.00,2026-02-13T08:49:31
L20260217-0003469,O20260217-001350,P00071,3,129.32,5.00,2026-02-10T20:29:03
L20260217-0003470,O20260217-001351,P00008,1,137.16,0.00,2026-02-17T19:23:41
L20260217-0003471,O20260217-001351,P00093,1,184.63,3.00,2026-02-11T21:13:11
L20260217-0003472,O20260217-001351,P00057,2,50.52,0.00,2026-02-14T04:27:21
