order_id,customer_id,order_ts,country,currency,payment_method,source_file_date
O20260217-001269,C037707,2026-02-14T03:47:28,GB,GBP,card,2026-02-17
O20260217-001270,C000912,2026-02-13T16:07:56,NL,EUR,gift_card,2026-02-17
O20260217-001271,C014607,2026-02-17T07:54:40,US,USD,klarna,2026-02-17
O20260217-001272,C011838,2026-02-13T03:23:03,GB,GBP,card,2026-02-17
O20260217-001273,C026795,2026-02-14T04:23:28,SE,SEK,paypal,2026-02-17
O20260217-001274,C027637,2026-02-17T04:28:25,DE,EUR,gift_card,2026-02-17
O20260217-001275,C023243,2026-02-14T23:40:37,FR,EUR,klarna,2026-02-17
O20260217-001276,C036397,2026-02-17T20:36:41,US,USD,gift_card,2026-02-17
O20260217-001277,C014449,2026-02-17T10:49:31,GB,GBP,card,2026-02-17
O20260217-001278,C025078,2026-02-17T08:53:58,DE,EUR,klarna,2026-02-17
O20260217-001279,C002418,2026-02-15T08:49:06,SE,SEK,klarna,2026-02-17
O20260217-001280,C022611,2026-02-12T21:32:47,SE,SEK,paypal,2026-02-17
O20260217-001281,C024191,2026-02-15T02:42:43,GB,GBP,card,2026-02-17
O20260217-001282,C016666,2026-02-13T16:31:53,US,USD,gift_card,2026-02-17
O20260217-001283,C035887,2026-02-16T14:15:38,DE,EUR,gift_card,2026-02-17
O20260217-001284,C031145,2026-02-12T13:00:45,DE,EUR,gift_card,2026-02-17
O20260217-001285,C017140,2026-02-15T00:50:10,NL,EUR,gift_card,2026-02-17
O20260217-001286,C018509,2026-02-16T10:22:21,DE,EUR,gift_card,2026-02-17
O20260217-001287,C028197,2026-02-12T04:53:05,DE,EUR,paypal,2026-02-17
O20260217-001288,C004745,2026-02-17T18:42:22,SE,SEK,klarna,2026-02-17
O20260217-001289,C022235,2026-02-17T11:25:57,NL,EUR,card,2026-02-17
O20260217-001290,C000868,2026-02-14T05:30:04,GB,GBP,paypal,2026-02-17
O20260217-001291,C002138,2026-02-12T21:11:42,SE,SEK,paypal,2026-02-17
O20260217-001292,C016269,2026-02-16T13:30:10,GB,GBP,gift_card,2026-02-17
O20260217-001293,C008217,2026-02-14T14:58:46,NL,EUR,gift_card,2026-02-17
O20260217-001294,C022004,2026-02-13T16:55:07,FR,EUR,klarna,2026-02-17
O20260217-001295,C030003,2026-02-15T18:43:09,GB,GBP,klarna,2026-02-17
O20260217-001296,C004780,2026-02-16T13:31:22,DE,EUR,gift_card,2026-02-17
O20260217-001297,C017081,2026-02-12T19:56:00,FR,EUR,klarna,2026-02-17
O20260217-001298,C032860,2026-02-16T05:02:12,NL,EUR,card,2026-02-17
O20260217-001299,C031698,2026-02-14T19:00:21,US,USD,paypal,2026-02-17
O20260217-001300,C034997,2026-02-16T06:12:06,FR,EUR,klarna,2026-02-17
O20260217-001301,C026085,2026-02-14T08:34:52,US,USD,card,2026-02-17
O20260217-001302,C035242,2026-02-17T03:55:38,DE,EUR,paypal,2026-02-17
O20260217-001303,C023175,2026-02-15T21:57:15,US,USD,gift_card,2026-02-17
O20260217-001304,C017046,2026-02-17T10:37:51,DE,EUR,card,2026-02-17
O20260217-001305,C032776,2026-02-14T05:15:45,US,USD,gift_card,2026-02-17
O20260217-001306,C002483,2026-02-16T13:58:41,NL,EUR,paypal,2026-02-17
O20260217-001307,C039658,2026-02-16T04:59:59,FR,EUR,klarna,2026-02-17
O20260217-001308,C006508,2026-02-16T10:02:26,NL,EUR,paypal,2026-02-17
O20260217-001309,C002174,2026-02-17T10:55:30,SE,SEK,gift_card,2026-02-17
O20260217-001310,C034306,2026-02-17T01:36:39,GB,GBP,gift_card,2026-02-17
O20260217-001311,C025930,2026-02-14T11:03:34,FR,EUR,paypal,2026-02-17
O20260217-001312,C036514,2026-02-12T05:07:18,NL,EUR,card,2026-02-17
O20260217-001313,C003534,2026-02-13T21:29:05,DE,EUR,klarna,2026-02-17
O20260217-001314,C000657,2026-02-13T04:01:58,DE,EUR,card,2026-02-17
O20260217-001315,C002593,2026-02-14T00:40:11,NL,EUR,klarna,2026-02-17
O20260217-001316,C029419,2026-02-13T16:45:34,SE,SEK,paypal,2026-02-17
O20260217-001317,C014970,2026-02-13T03:56:21,NL,EUR,paypal,2026-02-17
O20260217-001318,C008860,2026-02-13T14:42:43,DE,EUR,paypal,2026-02-17
O20260217-001319,C019446,2026-02-13T21:54:43,US,USD,paypal,2026-02-17
O20260217-001320,C015383,2026-02-12T02:32:34,SE,SEK,gift_card,2026-02-17
O20260217-001321,C029788,2026-02-13T01:03:30,SE,SEK,paypal,2026-02-17
O20260217-001322,C026942,2026-02-13T16:15:30,NL,EUR,klarna,2026-02-17
O20260217-001323,C022033,2026-02-13T07:34:31,SE,SEK,klarna,2026-02-17
O20260217-001324,C030460,2026-02-17T19:37:03,GB,GBP,paypal,2026-02-17
O20260217-001325,C005099,2026-02-16T11:37:45,US,USD,card,2026-02-17
O20260217-001326,C007209,2026-02-15T21:26:37,DE,EUR,gift_card,2026-02-17
O20260217-001327,C005466,2026-02-15T12:01:05,US,USD,paypal,2026-02-17
O20260217-001328,C028494,2026-02-16T05:51:24,US,USD,card,2026-02-17
O20260217-001329,C018110,2026-02-16T12:25:53,GB,GBP,paypal,2026-02-17
O20260217-001330,C019192,2026-02-17T17:09:12,US,USD,card,2026-02-17
O20260217-001331,C029418,2026-02-17T19:50:37,US,USD,klarna,2026-02-17
O20260217-001332,C021919,2026-02-17T19:42:40,US,USD,klarna,2026-02-17
O20260217-001333,C000762,2026-02-17T10:26:49,FR,EUR,gift_card,2026-02-17
O20260217-001334,C014801,2026-02-15T19:23:05,NL,EUR,gift_card,2026-02-17
O20260217-001335,C017285,2026-02-17T07:41:01,DE,EUR,paypal,2026-02-17
O20260217-001336,C006411,2026-02-17T12:26:20,NL,EUR,gift_card,2026-02-17
O20260217-001337,C010985,2026-02-16T11:56:28,FR,EUR,gift_card,2026-02-17
O20260217-001338,C019728,2026-02-13T01:23:30,GB,GBP,card,2026-02-17
O20260217-001339,C008422,2026-02-12T15:55:43,DE,EUR,gift_card,2026-02-17
O20260217-001340,C020704,2026-02-13T14:58:33,US,USD,card,2026-02-17
O20260217-001341,C031284,2026-02-17T10:55:07,US,USD,card,2026-02-17
O20260217-001342,C017243,2026-02-17T05:18:44,GB,GBP,klarna,2026-02-17
O20260217-001343,C014211,2026-02-17T21:59:13,NL,EUR,gift_card,2026-02-17
O20260217-001344,C037577,2026-02-17T21:26:25,US,USD,klarna,2026-02-17
O20260217-001345,C023062,2026-02-14T23:52:00,FR,EUR,paypal,2026-02-17
O20260217-001346,C005949,2026-02-14T12:56:58,GB,GBP,card,2026-02-17
O20260217-001347,C013520,2026-02-12T01:07:06,US,USD,paypal,2026-02-17
O20260217-001348,C005930,2026-02-12T16:40:53,DE,EUR,card,2026-02-17
O20260217-001349,C020834,2026-02-14T18:24:22,DE,EUR,gift_card,2026-02-17
O20260217-001350,C037339,2026-02-17T21:49:54,US,USD,klarna,2026-02-17
O20260217-001351,C003752,2026-02-12T14:35:52,GB,GBP,paypal,2026-02-17
O20260217-001352,C018361,2026-02-16T08:48:44,NL,EUR,paypal,2026-02-17
O20260217-001353,C031001,2026-02-15T09:42:25,SE,SEK,gift_card,2026-02-17
O20260217-001354,C008319,2026-02-16T01:41:27,DE,EUR,klarna,2026-02-17
O20260217-001355,C033503,2026-02-15T12:03:14,NL,EUR,klarna,2026-02-17
O20260217-001356,C015602,2026-02-15T22:27:25,DE,EUR,klarna,2026-02-17
O20260217-001357,C027833,2026-02-15T10:12:48,SE,SEK,paypal,2026-02-17
O20260217-001358,C020610,2026-02-17T13:02:49,FR,EUR,klarna,2026-02-17
O20260217-001359,C013972,2026-02-14T20:06:59,GB,GBP,paypal,2026-02-17
O20260217-001360,C006894,2026-02-12T00:31:34,GB,GBP,card,2026-02-17
O20260217-001303,C023175,2026-02-15T21:57:15,US,USD,gift_card,2026-02-17
O20260217-001318,C008860,2026-02-13T14:42:43,DE,EUR,paypal,2026-02-17
O20260217-001269,C037707,2026-02-14T03:47:28,GB,GBP,card,2026-02-17
O20260217-001326,C007209,2026-02-15T21:26:37,DE,EUR,gift_card,2026-02-17
O20260217-001233,C016224,2026-02-17T18:59:30,NL,EUR,gift_card,2026-02-17
O-BAD-001,,not-a-timestamp,XX,???,cash_in_pigeon,2026/13/40
,,,,,
broken|delimiter|line|not|csv
