order_id,customer_id,order_ts,country,currency,payment_method,shipping_amount,discount_amount,order_status,source_file_date,new_device_type
O20260216-001180,C001857,2026-02-11T10:13:24,SE,SEK,paypal,4.99,0.00,paid,2026-02-16,B
O20260216-001181,C008092,2026-02-16T10:16:06,DE,EUR,card,0.00,15.00,placed,2026-02-16,
O20260216-001182,C009012,2026-02-16T12:00:31,GB,GBP,card,2.99,10.00,cancelled,2026-02-16,legacy
O20260216-001183,C003458,2026-02-16T11:55:08,DE,EUR,paypal,0.00,5.00,shipped,2026-02-16,A
O20260216-001184,C027777,2026-02-13T20:15:47,DE,EUR,klarna,2.99,15.00,shipped,2026-02-16,C
O20260216-001185,C008919,2026-02-14T13:07:07,GB,GBP,gift_card,0.00,5.00,cancelled,2026-02-16,
O20260216-001186,C020388,2026-02-14T23:09:26,FR,EUR,card,4.99,5.00,shipped,2026-02-16,A
O20260216-001187,C028744,2026-02-14T17:09:25,DE,EUR,paypal,4.99,0.00,cancelled,2026-02-16,C
O20260216-001188,C017676,2026-02-12T18:52:54,US,USD,klarna,0.00,0.00,paid,2026-02-16,A
O20260216-001189,C012770,2026-02-14T17:23:37,DE,EUR,paypal,4.99,15.00,placed,2026-02-16,
O20260216-001190,C013518,2026-02-11T23:59:40,GB,GBP,klarna,2.99,15.00,cancelled,2026-02-16,legacy
O20260216-001191,C022025,2026-02-16T15:20:02,US,USD,gift_card,0.00,15.00,delivered,2026-02-16,B
O20260216-001192,C023640,2026-02-14T09:58:08,DE,EUR,klarna,2.99,5.00,delivered,2026-02-16,
O20260216-001193,C032025,2026-02-13T08:18:49,NL,EUR,klarna,7.99,5.00,cancelled,2026-02-16,C
O20260216-001194,C002224,2026-02-14T13:18:51,DE,EUR,card,0.00,10.00,placed,2026-02-16,A
O20260216-001195,C037245,2026-02-12T16:59:08,NL,EUR,gift_card,4.99,15.00,delivered,2026-02-16,legacy
O20260216-001196,C029982,2026-02-14T11:51:13,DE,EUR,gift_card,7.99,15.00,paid,2026-02-16,
O20260216-001197,C023045,2026-02-11T09:41:51,FR,EUR,gift_card,0.00,15.00,placed,2026-02-16,C
O20260216-001198,C007949,2026-02-16T08:01:29,DE,EUR,paypal,4.99,5.00,shipped,2026-02-16,
O20260216-001199,C012984,2026-02-12T13:02:05,GB,GBP,gift_card,0.00,15.00,cancelled,2026-02-16,legacy
O20260216-001200,C009263,2026-02-11T23:16:29,DE,EUR,card,7.99,15.00,paid,2026-02-16,B
O20260216-001201,C008918,2026-02-14T21:57:50,NL,EUR,card,7.99,5.00,paid,2026-02-16,
O20260216-001202,C025838,2026-02-16T06:08:23,US,USD,card,2.99,15.00,shipped,2026-02-16,legacy
O20260216-001203,C039157,2026-02-12T16:16:17,DE,EUR,paypal,7.99,15.00,cancelled,2026-02-16,B
O20260216-001204,C010178,2026-02-11T07:27:05,SE,SEK,gift_card,4.99,15.00,delivered,2026-02-16,A
O20260216-001205,C017208,2026-02-14T09:38:44,GB,GBP,klarna,4.99,10.00,cancelled,2026-02-16,B
O20260216-001206,C011358,2026-02-13T23:12:46,US,USD,card,7.99,5.00,paid,2026-02-16,B
O20260216-001207,C006978,2026-02-12T07:08:54,NL,EUR,paypal,4.99,0.00,paid,2026-02-16,
O20260216-001208,C039303,2026-02-15T12:55:42,DE,EUR,paypal,7.99,10.00,placed,2026-02-16,B
O20260216-001209,C026782,2026-02-14T22:01:49,NL,EUR,klarna,0.00,5.00,delivered,2026-02-16,C
O20260216-001210,C024025,2026-02-16T02:10:35,SE,SEK,gift_card,2.99,15.00,placed,2026-02-16,
O20260216-001211,C001043,2026-02-14T00:08:45,US,USD,paypal,2.99,0.00,delivered,2026-02-16,A
O20260216-001212,C019134,2026-02-11T20:21:37,GB,GBP,klarna,2.99,15.00,paid,2026-02-16,B
O20260216-001213,C027526,2026-02-13T15:50:17,NL,EUR,paypal,2.99,15.00,paid,2026-02-16,C
O20260216-001214,C017367,2026-02-15T07:52:40,SE,SEK,gift_card,2.99,0.00,delivered,2026-02-16,
O20260216-001215,C014153,2026-02-12T13:49:47,FR,EUR,paypal,0.00,5.00,placed,2026-02-16,
O20260216-001216,C000782,2026-02-15T12:00:31,US,USD,gift_card,2.99,0.00,shipped,2026-02-16,B
O20260216-001217,C016475,2026-02-11T16:24:56,DE,EUR,gift_card,4.99,0.00,delivered,2026-02-16,A
O20260216-001218,C023672,2026-02-14T15:15:07,US,USD,card,4.99,0.00,placed,2026-02-16,B
O20260216-001219,C037211,2026-02-12T06:04:35,FR,EUR,gift_card,2.99,0.00,cancelled,2026-02-16,B
O20260216-001220,C003391,2026-02-13T19:13:53,SE,SEK,paypal,7.99,10.00,paid,2026-02-16,A
O20260216-001221,C008532,2026-02-12T15:12:56,US,USD,klarna,0.00,5.00,cancelled,2026-02-16,A
O20260216-001222,C003387,2026-02-15T21:44:29,SE,SEK,klarna,0.00,15.00,paid,2026-02-16,legacy
O20260216-001223,C035659,2026-02-11T00:00:38,NL,EUR,card,7.99,0.00,paid,2026-02-16,C
O20260216-001224,C036751,2026-02-11T20:30:05,US,USD,paypal,0.00,15.00,cancelled,2026-02-16,
O20260216-001225,C022753,2026-02-15T07:38:41,SE,SEK,klarna,7.99,0.00,paid,2026-02-16,legacy
O20260216-001082,C033789,2026-02-16T23:50:12,SE,SEK,gift_card,4.99,10.00,shipped,2026-02-16,legacy
O20260216-001053,C032602,2026-02-13T11:00:36,GB,GBP,klarna,7.99,0.00,placed,2026-02-16,C
O20260216-001100,C014309,2026-02-11T06:27:25,DE,EUR,klarna,0.00,0.00,cancelled,2026-02-16,legacy
O20260216-001155,C033206,2026-02-13T07:02:17,SE,SEK,klarna,0.00,15.00,shipped,2026-02-16,A
O20260216-001184,C027777,2026-02-13T20:15:47,DE,EUR,klarna,2.99,15.00,shipped,2026-02-16,C
O20260216-001155,C033206,2026-02-13T07:02:17,SE,SEK,klarna,0.00,15.00,shipped,2026-02-16,B
O20260216-001173,C008822,2026-02-14T12:42:27,DE,EUR,gift_card,4.99,15.00,placed,2026-02-16,B
O-BAD-001,,not-a-timestamp,XX,???,cash_in_pigeon,free,-999999,teleported,2026/13/40,C
,,,,,
broken|delimiter|line|not|csv
