order_id,customer_id,order_ts,country,currency,payment_method,shipping_amount,discount_amount,order_status,source_file_date,new_device_type,new_marketing_channel
O20260214-000700,C038049,2026-02-12T22:51:36,SE,SEK,gift_card,2.99,5.00,shipped,2026-02-14,legacy,
O20260214-000701,C013316,2026-02-14T10:14:31,FR,EUR,card,2.99,0.00,placed,2026-02-14,legacy,C
O20260214-000702,C014272,2026-02-11T02:55:50,FR,EUR,card,2.99,0.00,cancelled,2026-02-14,,C
O20260214-000703,C011942,2026-02-11T01:32:30,FR,EUR,paypal,0.00,5.00,paid,2026-02-14,,
O20260214-000704,C035607,2026-02-11T06:00:18,NL,EUR,gift_card,2.99,5.00,placed,2026-02-14,A,
O20260214-000705,C011898,2026-02-14T14:44:19,SE,SEK,gift_card,4.99,0.00,shipped,2026-02-14,,C
O20260214-000706,C014840,2026-02-11T16:03:06,GB,GBP,card,4.99,10.00,delivered,2026-02-14,A,
O20260214-000707,C019172,2026-02-12T12:31:05,DE,EUR,gift_card,7.99,10.00,paid,2026-02-14,legacy,A
O20260214-000708,C026050,2026-02-10T02:19:14,FR,EUR,paypal,7.99,0.00,cancelled,2026-02-14,B,legacy
O20260214-000709,C037722,2026-02-12T12:40:50,FR,EUR,gift_card,4.99,5.00,placed,2026-02-14,C,B
O20260214-000710,C038506,2026-02-10T18:50:01,FR,EUR,card,0.00,0.00,cancelled,2026-02-14,A,C
O20260214-000711,C036314,2026-02-12T15:14:36,FR,EUR,card,2.99,5.00,paid,2026-02-14,A,A
O20260214-000712,C005570,2026-02-10T19:26:42,US,USD,klarna,4.99,0.00,shipped,2026-02-14,,C
O20260214-000713,C018150,2026-02-09T16:49:33,NL,EUR,klarna,7.99,15.00,shipped,2026-02-14,B,
O20260214-000714,C011187,2026-02-10T11:52:49,NL,EUR,gift_card,4.99,15.00,shipped,2026-02-14,A,A
O20260214-000715,C008285,2026-02-10T23:07:53,FR,EUR,card,2.99,0.00,placed,2026-02-14,,A
O20260214-000716,C038261,2026-02-11T23:34:38,NL,EUR,card,2.99,5.00,cancelled,2026-02-14,B,B
O20260214-000717,C012291,2026-02-09T19:58:55,FR,EUR,gift_card,0.00,10.00,placed,2026-02-14,C,A
O20260214-000718,C038051,2026-02-10T09:58:16,SE,SEK,klarna,0.00,5.00,paid,2026-02-14,legacy,C
O20260214-000719,C032529,2026-02-13T16:25:33,NL,EUR,card,0.00,0.00,paid,2026-02-14,B,C
O20260214-000720,C001946,2026-02-13T16:32:21,GB,GBP,gift_card,0.00,0.00,cancelled,2026-02-14,B,A
O20260214-000721,C039961,2026-02-11T17:05:17,DE,EUR,klarna,0.00,0.00,cancelled,2026-02-14,legacy,legacy
O20260214-000722,C037543,2026-02-09T05:53:06,GB,GBP,gift_card,7.99,15.00,placed,2026-02-14,B,legacy
O20260214-000723,C020685,2026-02-13T17:55:27,SE,SEK,gift_card,2.99,0.00,shipped,2026-02-14,B,C
O20260214-000724,C020519,2026-02-09T16:34:48,US,USD,card,7.99,0.00,shipped,2026-02-14,legacy,C
O20260214-000725,C008293,2026-02-09T12:01:47,DE,EUR,card,0.00,15.00,paid,2026-02-14,legacy,A
O20260214-000726,C005232,2026-02-14T07:54:34,FR,EUR,paypal,7.99,5.00,paid,2026-02-14,B,A
O20260214-000727,C020654,2026-02-12T03:15:46,GB,GBP,gift_card,0.00,15.00,placed,2026-02-14,A,C
O20260214-000728,C034808,2026-02-12T17:51:06,GB,GBP,card,0.00,5.00,shipped,2026-02-14,A,
O20260214-000729,C008889,2026-02-12T06:45:29,US,USD,paypal,7.99,0.00,shipped,2026-02-14,legacy,A
O20260214-000730,C034796,2026-02-11T06:24:48,GB,GBP,gift_card,2.99,10.00,placed,2026-02-14,A,C
O20260214-000731,C022852,2026-02-10T23:38:25,DE,EUR,paypal,2.99,5.00,paid,2026-02-14,B,A
O20260214-000732,C003956,2026-02-09T00:40:21,FR,EUR,klarna,7.99,0.00,shipped,2026-02-14,B,A
O20260214-000733,C019130,2026-02-11T21:15:05,GB,GBP,klarna,7.99,10.00,paid,2026-02-14,C,A
O20260214-000734,C031939,2026-02-10T05:22:22,FR,EUR,card,0.00,10.00,shipped,2026-02-14,,
O20260214-000735,C025749,2026-02-09T19:02:42,DE,EUR,paypal,2.99,10.00,delivered,2026-02-14,C,legacy
O20260214-000736,C029946,2026-02-14T05:34:38,DE,EUR,gift_card,7.99,10.00,placed,2026-02-14,,C
O20260214-000737,C016343,2026-02-12T05:33:05,SE,SEK,gift_card,4.99,5.00,placed,2026-02-14,,B
O20260214-000738,C027015,2026-02-14T01:57:06,GB,GBP,gift_card,4.99,0.00,shipped,2026-02-14,B,legacy
O20260214-000739,C019636,2026-02-11T08:02:23,FR,EUR,card,0.00,0.00,cancelled,2026-02-14,C,B
O20260214-000740,C000081,2026-02-13T15:13:00,FR,EUR,klarna,2.99,10.00,delivered,2026-02-14,C,legacy
O20260214-000741,C027671,2026-02-13T16:55:06,DE,EUR,klarna,4.99,5.00,delivered,2026-02-14,A,A
O20260214-000742,C034660,2026-02-10T07:37:20,US,USD,paypal,0.00,15.00,delivered,2026-02-14,A,C
O20260214-000743,C002943,2026-02-11T15:25:16,FR,EUR,card,2.99,0.00,cancelled,2026-02-14,A,A
O20260214-000744,C018234,2026-02-10T16:29:48,FR,EUR,klarna,4.99,5.00,placed,2026-02-14,C,
O20260214-000745,C015541,2026-02-12T17:47:57,GB,GBP,gift_card,2.99,10.00,placed,2026-02-14,,C
O20260214-000746,C017425,2026-02-13T00:41:27,NL,EUR,card,0.00,10.00,shipped,2026-02-14,B,
O20260214-000747,C002302,2026-02-13T09:13:37,GB,GBP,card,7.99,0.00,cancelled,2026-02-14,legacy,legacy
O20260214-000748,C029045,2026-02-09T23:22:32,NL,EUR,paypal,2.99,0.00,delivered,2026-02-14,,A
O20260214-000749,C031123,2026-02-11T00:53:16,SE,SEK,card,2.99,0.00,cancelled,2026-02-14,C,
O20260214-000750,C007388,2026-02-12T06:32:52,US,USD,gift_card,0.00,0.00,cancelled,2026-02-14,B,legacy
O20260214-000751,C025946,2026-02-13T11:16:50,DE,EUR,paypal,0.00,5.00,placed,2026-02-14,C,C
O20260214-000752,C011167,2026-02-13T02:39:02,GB,GBP,klarna,7.99,10.00,paid,2026-02-14,A,B
O20260214-000753,C017599,2026-02-12T02:01:03,US,USD,gift_card,4.99,0.00,cancelled,2026-02-14,legacy,A
O20260214-000754,C010457,2026-02-12T11:49:15,DE,EUR,card,0.00,15.00,delivered,2026-02-14,,
O20260214-000755,C020288,2026-02-14T20:59:09,GB,GBP,paypal,4.99,15.00,delivered,2026-02-14,C,A
O20260214-000756,C038495,2026-02-09T23:35:30,US,USD,paypal,7.99,5.00,cancelled,2026-02-14,B,B
O20260214-000757,C013415,2026-02-13T05:23:05,NL,EUR,gift_card,4.99,0.00,paid,2026-02-14,legacy,C
O20260214-000758,C000917,2026-02-12T22:41:43,SE,SEK,paypal,2.99,10.00,placed,2026-02-14,legacy,
O20260214-000759,C034969,2026-02-10T01:02:12,US,USD,klarna,7.99,15.00,delivered,2026-02-14,legacy,A
O20260214-000760,C025001,2026-02-13T01:30:00,US,USD,paypal,7.99,10.00,paid,2026-02-14,C,C
O20260214-000761,C009926,2026-02-14T01:38:21,US,USD,paypal,7.99,10.00,paid,2026-02-14,C,B
O20260214-000762,C037437,2026-02-12T06:26:34,US,USD,card,0.00,5.00,delivered,2026-02-14,,A
O20260214-000763,C039644,2026-02-12T00:03:06,NL,EUR,gift_card,2.99,0.00,shipped,2026-02-14,legacy,
O20260214-000764,C000808,2026-02-14T14:13:39,FR,EUR,gift_card,0.00,0.00,placed,2026-02-14,B,B
O20260214-000765,C029588,2026-02-13T05:05:06,GB,GBP,paypal,7.99,15.00,placed,2026-02-14,,A
O20260214-000766,C033379,2026-02-11T02:41:24,GB,GBP,gift_card,2.99,0.00,placed,2026-02-14,B,C
O20260214-000767,C016639,2026-02-12T22:49:17,US,USD,gift_card,0.00,10.00,placed,2026-02-14,C,
O20260214-000768,C010957,2026-02-10T02:30:53,FR,EUR,card,7.99,5.00,shipped,2026-02-14,C,C
O20260214-000769,C026678,2026-02-14T04:52:14,DE,EUR,klarna,4.99,0.00,paid,2026-02-14,,
O20260214-000770,C009452,2026-02-14T20:25:00,SE,SEK,paypal,4.99,0.00,paid,2026-02-14,,B
O20260214-000771,C017687,2026-02-14T04:46:58,FR,EUR,card,4.99,5.00,delivered,2026-02-14,A,C
O20260214-000772,C011816,2026-02-11T19:01:13,NL,EUR,paypal,7.99,5.00,shipped,2026-02-14,A,
O20260214-000773,C014723,2026-02-13T15:26:05,US,USD,gift_card,4.99,15.00,placed,2026-02-14,A,A
O20260214-000774,C008778,2026-02-12T11:52:44,GB,GBP,klarna,4.99,0.00,delivered,2026-02-14,,B
O20260214-000775,C008613,2026-02-14T03:36:42,US,USD,card,4.99,15.00,cancelled,2026-02-14,A,legacy
O20260214-000776,C011189,2026-02-11T17:56:25,US,USD,klarna,7.99,5.00,delivered,2026-02-14,,A
O20260214-000777,C028047,2026-02-10T21:26:08,FR,EUR,paypal,7.99,10.00,placed,2026-02-14,C,
O20260214-000778,C032782,2026-02-10T08:19:29,US,USD,klarna,0.00,15.00,paid,2026-02-14,C,
O20260214-000779,C036536,2026-02-14T18:07:36,NL,EUR,card,7.99,5.00,cancelled,2026-02-14,legacy,B
O20260214-000780,C008561,2026-02-14T13:19:02,FR,EUR,card,7.99,15.00,cancelled,2026-02-14,,A
O20260214-000781,C025759,2026-02-10T23:40:08,DE,EUR,paypal,4.99,0.00,shipped,2026-02-14,B,A
O20260214-000782,C017631,2026-02-10T13:17:28,FR,EUR,card,2.99,0.00,paid,2026-02-14,,C
O20260214-000783,C034589,2026-02-11T10:17:27,FR,EUR,paypal,2.99,0.00,paid,2026-02-14,C,B
O20260214-000784,C010912,2026-02-13T23:46:31,US,USD,paypal,0.00,5.00,shipped,2026-02-14,legacy,A
O20260214-000785,C013641,2026-02-13T00:03:01,US,USD,card,7.99,0.00,shipped,2026-02-14,B,
O20260214-000786,C026432,2026-02-11T07:37:07,GB,GBP,card,0.00,15.00,cancelled,2026-02-14,C,A
O20260214-000787,C037233,2026-02-14T03:16:07,FR,EUR,gift_card,0.00,0.00,cancelled,2026-02-14,C,legacy
O20260214-000788,C025198,2026-02-10T23:40:09,US,USD,paypal,2.99,10.00,paid,2026-02-14,C,
O20260214-000789,C038141,2026-02-09T17:49:36,NL,EUR,gift_card,0.00,10.00,placed,2026-02-14,B,
O20260214-000790,C022076,2026-02-12T17:53:05,FR,EUR,gift_card,7.99,5.00,delivered,2026-02-14,A,B
O20260214-000791,C002663,2026-02-14T00:58:38,DE,EUR,klarna,2.99,0.00,delivered,2026-02-14,legacy,B
O20260214-000792,C006343,2026-02-09T07:28:05,US,USD,card,0.00,5.00,placed,2026-02-14,C,C
O20260214-000793,C039593,2026-02-10T20:23:44,GB,GBP,klarna,4.99,15.00,paid,2026-02-14,,legacy
O20260214-000794,C020254,2026-02-13T00:12:40,FR,EUR,klarna,0.00,0.00,shipped,2026-02-14,,B
O20260214-000795,C021230,2026-02-13T08:26:26,DE,EUR,card,7.99,5.00,delivered,2026-02-14,,B
O20260214-000796,C039795,2026-02-10T08:18:37,FR,EUR,klarna,7.99,10.00,delivered,2026-02-14,legacy,legacy
O20260214-000797,C003518,2026-02-14T01:35:08,DE,EUR,klarna,0.00,0.00,cancelled,2026-02-14,C,A
O20260214-000798,C033227,2026-02-13T04:41:14,US,USD,gift_card,4.99,0.00,paid,2026-02-14,,
O20260214-000799,C009224,2026-02-14T16:22:32,NL,EUR,card,7.99,5.00,shipped,2026-02-14,,C
O20260214-000800,C030643,2026-02-13T11:40:12,DE,EUR,gift_card,4.99,0.00,paid,2026-02-14,B,A
O20260214-000801,C029782,2026-02-14T00:18:05,SE,SEK,paypal,0.00,15.00,paid,2026-02-14,,
O20260214-000802,C021759,2026-02-14T17:07:43,FR,EUR,gift_card,0.00,0.00,shipped,2026-02-14,B,B
O20260214-000803,C036993,2026-02-14T09:42:55,SE,SEK,gift_card,0.00,0.00,placed,2026-02-14,,A
O20260214-000804,C039428,2026-02-13T07:03:16,NL,EUR,gift_card,7.99,0.00,placed,2026-02-14,B,C
O20260214-000805,C008375,2026-02-10T07:33:09,US,USD,gift_card,0.00,0.00,placed,2026-02-14,B,legacy
O20260214-000806,C011520,2026-02-13T04:36:47,GB,GBP,gift_card,0.00,5.00,placed,2026-02-14,,
O20260214-000807,C001925,2026-02-09T08:34:45,DE,EUR,klarna,0.00,10.00,delivered,2026-02-14,,B
O20260214-000808,C021306,2026-02-13T23:58:48,NL,EUR,klarna,4.99,10.00,placed,2026-02-14,C,legacy
O20260214-000809,C011647,2026-02-13T14:26:14,SE,SEK,klarna,7.99,0.00,placed,2026-02-14,B,B
O20260214-000810,C005775,2026-02-12T07:00:23,FR,EUR,gift_card,2.99,5.00,delivered,2026-02-14,legacy,
O20260214-000811,C017005,2026-02-13T11:35:26,DE,EUR,card,7.99,10.00,cancelled,2026-02-14,legacy,
O20260214-000812,C010695,2026-02-12T03:47:43,DE,EUR,paypal,7.99,0.00,delivered,2026-02-14,legacy,A
O20260214-000813,C000249,2026-02-10T12:54:26,NL,EUR,gift_card,4.99,10.00,paid,2026-02-14,,A
O20260214-000814,C018092,2026-02-14T19:56:28,DE,EUR,gift_card,7.99,15.00,shipped,2026-02-14,C,legacy
O20260214-000767,C016639,2026-02-12T22:49:17,US,USD,gift_card,0.00,10.00,placed,2026-02-14,legacy,
O20260214-000654,C028325,2026-02-13T14:48:27,FR,EUR,paypal,2.99,0.00,cancelled,2026-02-14,legacy,B
O20260214-000694,C010293,2026-02-11T08:34:41,NL,EUR,paypal,4.99,15.00,shipped,2026-02-14,B,A
O20260214-000606,C010048,2026-02-10T07:00:08,FR,EUR,card,2.99,5.00,delivered,2026-02-14,C,C
O20260214-000624,C014439,2026-02-10T14:11:10,DE,EUR,card,4.99,5.00,paid,2026-02-14,B,C
O20260214-000601,C001837,2026-02-14T17:50:57,FR,EUR,klarna,2.99,15.00,shipped,2026-02-14,A,C
O20260214-000635,C010104,2026-02-09T13:11:52,NL,EUR,klarna,2.99,0.00,delivered,2026-02-14,A,legacy
O20260214-000591,C022065,2026-02-11T18:08:54,SE,SEK,paypal,0.00,0.00,placed,2026-02-14,legacy,B
O20260214-000681,C023324,2026-02-09T06:01:58,FR,EUR,klarna,7.99,5.00,placed,2026-02-14,,B
O-BAD-001,,not-a-timestamp,XX,???,cash_in_pigeon,free,-999999,teleported,2026/13/40,legacy,
,,,,,
broken|delimiter|line|not|csv
